Frequency (Hz)	Level (dB)
15.625000	-61.141125
31.250000	-55.765663
46.875000	-54.138088
62.500000	-54.172092
78.125000	-54.402283
93.750000	-55.080986
109.375000	-55.869408
125.000000	-56.258209
140.625000	-57.393341
156.250000	-57.752644
171.875000	-57.091335
187.500000	-56.625317
203.125000	-55.897633
218.750000	-54.025600
234.375000	-51.274395
250.000000	-47.221394
265.625000	-44.927280
281.250000	-46.511467
296.875000	-50.582405
312.500000	-54.184444
328.125000	-56.885921
343.750000	-58.745884
359.375000	-60.101593
375.000000	-60.863415
390.625000	-61.512882
406.250000	-62.013638
421.875000	-61.979210
437.500000	-61.652588
453.125000	-61.098232
468.750000	-60.271812
484.375000	-59.412258
500.000000	-57.975471
515.625000	-56.012268
531.250000	-53.372940
546.875000	-51.808754
562.500000	-52.202187
578.125000	-54.376255
593.750000	-57.209614
609.375000	-59.394508
625.000000	-60.442455
640.625000	-61.582718
656.250000	-62.489117
671.875000	-63.022728
687.500000	-63.132759
703.125000	-63.063148
718.750000	-62.659927
734.375000	-61.751839
750.000000	-60.562954
765.625000	-58.850750
781.250000	-56.691841
796.875000	-55.107151
812.500000	-54.889885
828.125000	-55.287277
843.750000	-55.816517
859.375000	-57.002258
875.000000	-58.669289
890.625000	-60.296932
906.250000	-61.560726
921.875000	-62.422337
937.500000	-63.146362
953.125000	-63.488262
968.750000	-63.491230
984.375000	-62.931198
1000.000000	-62.358772
1015.625000	-61.965511
1031.250000	-61.393467
1046.875000	-60.539642
1062.500000	-59.616352
1078.125000	-58.960121
1093.750000	-59.026028
1109.375000	-59.205658
1125.000000	-59.402660
1140.625000	-59.633938
1156.250000	-60.042336
1171.875000	-60.503166
1187.500000	-60.955112
1203.125000	-61.325382
1218.750000	-61.429150
1234.375000	-61.649223
1250.000000	-61.764320
1265.625000	-61.908642
1281.250000	-62.001377
1296.875000	-61.852345
1312.500000	-61.349174
1328.125000	-60.486446
1343.750000	-59.578262
1359.375000	-58.171741
1375.000000	-56.122978
1390.625000	-53.286713
1406.250000	-50.597008
1421.875000	-49.584118
1437.500000	-50.795975
1453.125000	-53.267338
1468.750000	-55.581341
1484.375000	-57.366375
1500.000000	-58.553722
1515.625000	-59.215164
1531.250000	-59.613850
1546.875000	-59.675373
1562.500000	-59.488625
1578.125000	-59.109550
1593.750000	-58.152050
1609.375000	-56.969032
1625.000000	-55.406887
1640.625000	-52.952168
1656.250000	-50.691639
1671.875000	-49.345173
1687.500000	-49.607643
1703.125000	-51.328461
1718.750000	-53.430687
1734.375000	-55.410603
1750.000000	-56.625008
1765.625000	-57.815899
1781.250000	-58.353264
1796.875000	-58.594051
1812.500000	-58.864517
1828.125000	-58.706066
1843.750000	-58.239613
1859.375000	-57.571011
1875.000000	-56.714657
