Frequency (Hz)	Level (dB)
15.625000	-77.824173
31.250000	-75.171623
46.875000	-71.566093
62.500000	-66.789085
78.125000	-64.733841
93.750000	-64.293892
109.375000	-63.385330
125.000000	-62.900711
140.625000	-64.164040
156.250000	-63.588444
171.875000	-62.609402
187.500000	-61.259766
203.125000	-59.456760
218.750000	-57.041214
234.375000	-53.628483
250.000000	-49.313274
265.625000	-46.552948
281.250000	-47.597282
296.875000	-51.212559
312.500000	-54.453209
328.125000	-56.640144
343.750000	-58.122627
359.375000	-59.075352
375.000000	-59.638535
390.625000	-59.835964
406.250000	-59.745483
421.875000	-59.417850
437.500000	-58.791542
453.125000	-57.954914
468.750000	-56.940804
484.375000	-55.680870
500.000000	-54.038692
515.625000	-51.801022
531.250000	-49.040657
546.875000	-46.937241
562.500000	-47.090115
578.125000	-49.321972
593.750000	-51.897968
609.375000	-53.763084
625.000000	-54.895199
640.625000	-55.604511
656.250000	-56.130966
671.875000	-56.458977
687.500000	-56.510056
703.125000	-56.233109
718.750000	-55.595310
734.375000	-54.562778
750.000000	-53.075199
765.625000	-51.112602
781.250000	-48.931957
796.875000	-47.316219
812.500000	-46.860603
828.125000	-47.146912
843.750000	-47.623859
859.375000	-48.493496
875.000000	-49.846001
890.625000	-51.295448
906.250000	-52.491947
921.875000	-53.320667
937.500000	-53.776215
953.125000	-53.899429
968.750000	-53.706890
984.375000	-53.261295
1000.000000	-52.636169
1015.625000	-51.928127
1031.250000	-51.161465
1046.875000	-50.301594
1062.500000	-49.394650
1078.125000	-48.704601
1093.750000	-48.461121
1109.375000	-48.560028
1125.000000	-48.697224
1140.625000	-48.747280
1156.250000	-48.887016
1171.875000	-49.264088
1187.500000	-49.702988
1203.125000	-49.940464
1218.750000	-50.046764
1234.375000	-50.168236
1250.000000	-50.224232
1265.625000	-50.135658
1281.250000	-49.928467
1296.875000	-49.634460
1312.500000	-49.180729
1328.125000	-48.446625
1343.750000	-47.333347
1359.375000	-45.754871
1375.000000	-43.599350
1390.625000	-40.816998
1406.250000	-37.983704
1421.875000	-36.708614
1437.500000	-37.824203
1453.125000	-40.247646
1468.750000	-42.476185
1484.375000	-44.096470
1500.000000	-45.186184
1515.625000	-45.852924
1531.250000	-46.163109
1546.875000	-46.157154
1562.500000	-45.852657
1578.125000	-45.247223
1593.750000	-44.314037
1609.375000	-43.014084
1625.000000	-41.286510
1640.625000	-39.099098
1656.250000	-36.681400
1671.875000	-34.947460
1687.500000	-34.958797
1703.125000	-36.619362
1718.750000	-38.789783
1734.375000	-40.637856
1750.000000	-42.011955
1765.625000	-42.972145
1781.250000	-43.588936
1796.875000	-43.908379
1812.500000	-43.963638
1828.125000	-43.768776
1843.750000	-43.329357
1859.375000	-42.643677
1875.000000	-41.705044
1890.625000	-40.514416
1906.250000	-39.118828
1921.875000	-37.678608
1937.500000	-36.559128
1953.125000	-36.196270
