Frequency (Hz)	Level (dB)
15.625000	-67.085495
31.250000	-74.683723
46.875000	-68.368126
62.500000	-61.627136
78.125000	-59.437984
93.750000	-58.728245
109.375000	-58.040497
125.000000	-57.594460
140.625000	-57.648354
156.250000	-56.951164
171.875000	-55.941631
187.500000	-54.592754
203.125000	-52.785862
218.750000	-50.350189
234.375000	-46.965366
250.000000	-42.622181
265.625000	-39.848362
281.250000	-40.894485
296.875000	-44.521496
312.500000	-47.764610
328.125000	-49.961594
343.750000	-51.427074
359.375000	-52.387741
375.000000	-52.936932
390.625000	-53.144867
406.250000	-53.049095
421.875000	-52.701462
437.500000	-52.091415
453.125000	-51.264290
468.750000	-50.246208
484.375000	-48.981812
500.000000	-47.337292
515.625000	-45.103409
531.250000	-42.337540
546.875000	-40.242485
562.500000	-40.401478
578.125000	-42.634510
593.750000	-45.211826
609.375000	-47.066311
625.000000	-48.182274
640.625000	-48.887257
656.250000	-49.422707
671.875000	-49.762348
687.500000	-49.814331
703.125000	-49.534561
718.750000	-48.893345
734.375000	-47.854607
750.000000	-46.367199
765.625000	-44.401806
781.250000	-42.229961
796.875000	-40.627865
812.500000	-40.170094
828.125000	-40.438622
843.750000	-40.906994
859.375000	-41.784740
875.000000	-43.147842
890.625000	-44.605354
906.250000	-45.798805
921.875000	-46.624016
937.500000	-47.082455
953.125000	-47.198177
968.750000	-47.008404
984.375000	-46.562630
1000.000000	-45.935684
1015.625000	-45.221180
1031.250000	-44.453979
1046.875000	-43.591896
1062.500000	-42.684242
1078.125000	-41.993465
1093.750000	-41.754276
1109.375000	-41.858944
1125.000000	-41.997593
1140.625000	-42.050838
1156.250000	-42.192944
1171.875000	-42.571671
1187.500000	-43.005203
1203.125000	-43.236683
1218.750000	-43.343941
1234.375000	-43.464367
1250.000000	-43.523846
1265.625000	-43.430645
1281.250000	-43.222492
1296.875000	-42.928940
1312.500000	-42.472988
1328.125000	-41.735535
1343.750000	-40.617645
1359.375000	-39.032093
1375.000000	-36.870220
1390.625000	-34.080830
1406.250000	-31.251472
1421.875000	-29.998823
1437.500000	-31.138239
1453.125000	-33.568787
1468.750000	-35.793964
1484.375000	-37.407494
1500.000000	-38.492874
1515.625000	-39.155884
1531.250000	-39.464058
1546.875000	-39.454914
1562.500000	-39.147572
1578.125000	-38.536453
1593.750000	-37.600590
1609.375000	-36.295647
1625.000000	-34.561264
1640.625000	-32.368843
1656.250000	-29.951988
1671.875000	-28.232113
1687.500000	-28.266579
1703.125000	-29.942661
1718.750000	-32.113571
1734.375000	-33.956913
1750.000000	-35.326344
1765.625000	-36.283123
1781.250000	-36.895569
1796.875000	-37.212135
1812.500000	-37.263062
1828.125000	-37.064121
1843.750000	-36.622845
1859.375000	-35.935349
1875.000000	-34.992920
1890.625000	-33.799137
1906.250000	-32.399937
1921.875000	-30.960171
1937.500000	-29.849934
1953.125000	-29.501230
1968.750000	-30.037760
1984.375000	-31.161539
2000.000000	-32.444103
2015.625000	-33.608833
2031.250000	-34.553432
2046.875000	-35.263382
2062.500000	-35.753277
2078.125000	-36.039959
2093.750000	-36.141357
2109.375000	-36.071289
2125.000000	-35.843815
2140.625000	-35.470776
2156.250000	-34.971127
2171.875000	-34.373348
2187.500000	-33.720367
2203.125000	-33.063374
2218.750000	-32.444378
2234.375000	-31.891514
2250.000000	-31.489893
2265.625000	-31.420553
2281.250000	-31.797626
2296.875000	-32.517887
2312.500000	-33.361874
2328.125000	-34.158318
2343.750000	-34.822807
2359.375000	-35.331043
2375.000000	-35.676140
2390.625000	-35.862022
2406.250000	-35.891972
2421.875000	-35.766216
2437.500000	-35.484776
2453.125000	-35.046177
2468.750000	-34.448326
2484.375000	-33.700672
2500.000000	-32.831940
2515.625000	-31.915215
2531.250000	-31.094193
2546.875000	-30.576426
2562.500000	-30.545004
2578.125000	-31.025700
2593.750000	-31.861565
2609.375000	-32.829926
2625.000000	-33.756916
2640.625000	-34.545246
2656.250000	-35.153927
2671.875000	-35.567451
2687.500000	-35.778172
2703.125000	-35.782146
2718.750000	-35.571651
2734.375000	-35.133720
2750.000000	-34.450806
2765.625000	-33.502548
2781.250000	-32.281746
2796.875000	-30.833038
2812.500000	-29.357559
2828.125000	-28.319469
2843.750000	-28.219810
2859.375000	-29.110741
2875.000000	-30.540144
2890.625000	-32.012100
2906.250000	-33.278446
2921.875000	-34.274628
2937.500000	-34.999779
2953.125000	-35.465088
2968.750000	-35.680584
2984.375000	-35.651058
3000.000000	-35.371693
3015.625000	-34.827602
3031.250000	-33.991070
3046.875000	-32.823036
3062.500000	-31.279415
3078.125000	-29.375475
3093.750000	-27.409466
3109.375000	-26.192638
3125.000000	-26.465786
3140.625000	-28.031960
3156.250000	-29.998232
3171.875000	-31.735888
3187.500000	-33.090641
3203.125000	-34.081806
3218.750000	-34.755817
3234.375000	-35.147633
3250.000000	-35.276810
3265.625000	-35.151279
3281.250000	-34.764084
3296.875000	-34.097492
3312.500000	-33.114273
3328.125000	-31.760578
3343.750000	-29.971342
3359.375000	-27.764652
3375.000000	-25.689684
3390.625000	-24.809099
3406.250000	-25.522091
3421.875000	-27.413853
3437.500000	-29.543280
3453.125000	-31.278803
3468.750000	-32.575401
3484.375000	-33.496689
3500.000000	-34.097382
3515.625000	-34.415546
3531.250000	-34.470333
3546.875000	-34.267929
3562.500000	-33.801460
3578.125000	-33.050346
3593.750000	-31.975718
3609.375000	-30.522686
3625.000000	-28.637175
3640.625000	-26.447697
3656.250000	-24.804407
3671.875000	-24.434637
3687.500000	-25.282755
3703.125000	-27.102291
3718.750000	-29.135527
3734.375000	-30.775572
3750.000000	-32.002075
3765.625000	-32.876640
3781.250000	-33.451805
3796.875000	-33.759224
3812.500000	-33.818096
3828.125000	-33.632454
3843.750000	-33.196091
3859.375000	-32.490479
3875.000000	-31.481033
3890.625000	-30.123783
3906.250000	-28.385542
3921.875000	-26.412447
3937.500000	-24.937338
3953.125000	-24.636700
3968.750000	-25.549738
3984.375000	-27.393517
4000.000000	-29.392630
4015.625000	-31.051003
4031.250000	-32.335243
4046.875000	-33.292767
4062.500000	-33.967625
4078.125000	-34.389053
4093.750000	-34.573494
4109.375000	-34.523884
4125.000000	-34.233200
4140.625000	-33.683449
4156.250000	-32.841553
4171.875000	-31.661076
4187.500000	-30.099804
4203.125000	-28.224360
4218.750000	-26.506468
4234.375000	-25.887846
4250.000000	-26.882568
4265.625000	-28.933790
4281.250000	-31.104548
4296.875000	-32.942657
4312.500000	-34.391697
4328.125000	-35.492004
4343.750000	-36.289463
4359.375000	-36.815346
4375.000000	-37.086163
4390.625000	-37.105083
4406.250000	-36.864883
4421.875000	-36.343662
4437.500000	-35.501431
4453.125000	-34.279991
4468.750000	-32.618099
4484.375000	-30.579100
4500.000000	-28.749123
4515.625000	-28.253368
4531.250000	-29.559219
4546.875000	-31.868443
4562.500000	-34.132008
4578.125000	-35.974625
4593.750000	-37.403866
4609.375000	-38.484810
4625.000000	-39.266239
4640.625000	-39.775913
4656.250000	-40.027462
