Frequency (Hz)	Level (dB)
15.625000	-77.549423
31.250000	-74.673485
46.875000	-72.326874
62.500000	-70.415421
78.125000	-68.898575
93.750000	-69.201439
109.375000	-67.043228
125.000000	-66.397224
140.625000	-74.088242
156.250000	-76.780243
171.875000	-76.488396
187.500000	-75.956573
203.125000	-75.058136
218.750000	-72.152924
234.375000	-68.074829
250.000000	-66.118980
265.625000	-64.099304
281.250000	-65.031013
296.875000	-68.766930
312.500000	-72.255341
328.125000	-74.603119
343.750000	-76.172501
359.375000	-76.949783
375.000000	-77.813782
390.625000	-78.182808
406.250000	-78.704514
421.875000	-78.624344
437.500000	-78.060066
453.125000	-77.547737
468.750000	-76.957298
484.375000	-76.117340
500.000000	-74.518524
515.625000	-72.809692
531.250000	-70.172600
546.875000	-68.164162
562.500000	-68.558632
578.125000	-70.851646
593.750000	-73.305389
609.375000	-75.173218
625.000000	-76.466599
640.625000	-77.121330
656.250000	-77.622139
671.875000	-78.093613
687.500000	-78.217964
703.125000	-78.058144
718.750000	-77.559891
734.375000	-76.673370
750.000000	-75.602394
765.625000	-73.918190
781.250000	-71.820183
796.875000	-70.549911
812.500000	-70.138084
828.125000	-70.262749
843.750000	-70.859276
859.375000	-71.751991
875.000000	-73.056801
890.625000	-74.653282
906.250000	-75.563667
921.875000	-76.512833
937.500000	-77.128891
953.125000	-77.051353
968.750000	-76.899956
984.375000	-76.618851
1000.000000	-76.059837
1015.625000	-75.603783
1031.250000	-75.208488
1046.875000	-74.329666
1062.500000	-73.162476
1078.125000	-72.943848
1093.750000	-72.871986
1109.375000	-72.936852
1125.000000	-73.117188
1140.625000	-73.424423
1156.250000	-73.591858
1171.875000	-73.956802
1187.500000	-74.438873
1203.125000	-74.702377
1218.750000	-74.749016
1234.375000	-74.889969
1250.000000	-74.923203
1265.625000	-75.023911
1281.250000	-74.758217
1296.875000	-74.663841
1312.500000	-74.243515
1328.125000	-73.534355
1343.750000	-72.524818
1359.375000	-70.872902
1375.000000	-68.628883
1390.625000	-66.004021
1406.250000	-63.240284
1421.875000	-62.031631
1437.500000	-63.265423
1453.125000	-65.804298
1468.750000	-68.097664
1484.375000	-70.093262
1500.000000	-71.190689
1515.625000	-71.604568
1531.250000	-71.592888
1546.875000	-71.685844
1562.500000	-71.567970
1578.125000	-71.202148
1593.750000	-70.568359
1609.375000	-69.149872
1625.000000	-67.263145
1640.625000	-65.030746
1656.250000	-62.839466
1671.875000	-61.101494
1687.500000	-61.105801
1703.125000	-62.822845
1718.750000	-64.847466
1734.375000	-66.961746
1750.000000	-68.385162
1765.625000	-69.351997
1781.250000	-70.034691
1796.875000	-70.217644
1812.500000	-70.215599
1828.125000	-70.299492
1843.750000	-70.092628
1859.375000	-69.149727
1875.000000	-68.128006
1890.625000	-67.354607
1906.250000	-66.031242
1921.875000	-64.589050
1937.500000	-63.541603
1953.125000	-63.075256
1968.750000	-63.868050
1984.375000	-65.240166
2000.000000	-66.328896
2015.625000	-67.440529
2031.250000	-68.491211
2046.875000	-68.819336
2062.500000	-69.295944
2078.125000	-69.735863
2093.750000	-69.882996
2109.375000	-69.931152
2125.000000	-69.736893
2140.625000	-69.153984
2156.250000	-68.793564
2171.875000	-68.358833
2187.500000	-67.800018
2203.125000	-67.272179
2218.750000	-66.709633
2234.375000	-65.976044
2250.000000	-65.564514
2265.625000	-65.646362
2281.250000	-66.053444
2296.875000	-66.722374
2312.500000	-67.663887
2328.125000	-68.763596
2343.750000	-69.284843
2359.375000	-69.807465
2375.000000	-69.947090
2390.625000	-70.140945
2406.250000	-70.494347
2421.875000	-70.268883
2437.500000	-70.104233
2453.125000	-69.759659
2468.750000	-69.090446
2484.375000	-68.352699
2500.000000	-67.488564
2515.625000	-66.408188
2531.250000	-65.713806
2546.875000	-65.356125
2562.500000	-65.113609
2578.125000	-65.690872
2593.750000	-66.783180
2609.375000	-67.701859
2625.000000	-68.752792
2640.625000	-69.670715
2656.250000	-70.304947
2671.875000	-70.417000
2687.500000	-70.740746
2703.125000	-70.761948
2718.750000	-70.328552
2734.375000	-70.077072
2750.000000	-69.545074
2765.625000	-68.549400
2781.250000	-67.410110
2796.875000	-65.831970
2812.500000	-64.043137
2828.125000	-63.094479
2843.750000	-63.401180
2859.375000	-64.407524
2875.000000	-65.662064
2890.625000	-67.353798
2906.250000	-68.711159
2921.875000	-69.496773
2937.500000	-70.412895
2953.125000	-71.094673
2968.750000	-71.181801
2984.375000	-71.026558
3000.000000	-70.812477
3015.625000	-70.435699
3031.250000	-69.383316
3046.875000	-68.401115
3062.500000	-66.655334
3078.125000	-64.621796
3093.750000	-62.730640
3109.375000	-61.757515
3125.000000	-62.353535
3140.625000	-63.720146
