Frequency (Hz)	Level (dB)
15.625000	-77.859299
31.250000	-75.202950
46.875000	-72.963676
62.500000	-70.884903
78.125000	-69.464767
93.750000	-70.106850
109.375000	-67.183548
125.000000	-66.466537
140.625000	-74.068466
156.250000	-76.467766
171.875000	-76.171669
187.500000	-75.384026
203.125000	-73.730873
218.750000	-71.072083
234.375000	-66.888000
250.000000	-63.749004
265.625000	-61.436485
281.250000	-62.618313
296.875000	-66.146118
312.500000	-69.313385
328.125000	-71.283875
343.750000	-72.594841
359.375000	-73.869728
375.000000	-74.326370
390.625000	-74.534088
406.250000	-74.372856
421.875000	-74.637833
437.500000	-73.930183
453.125000	-72.751442
468.750000	-71.960030
484.375000	-70.775284
500.000000	-69.280128
515.625000	-67.282692
531.250000	-64.724304
546.875000	-62.691750
562.500000	-62.542015
578.125000	-64.507637
593.750000	-67.239273
609.375000	-69.220917
625.000000	-70.182663
640.625000	-70.558372
656.250000	-71.280159
671.875000	-71.621735
687.500000	-71.524513
703.125000	-71.282326
718.750000	-70.958191
734.375000	-69.759293
750.000000	-67.993744
765.625000	-66.052933
781.250000	-64.105789
796.875000	-62.734188
812.500000	-62.349331
828.125000	-62.446079
843.750000	-62.857246
859.375000	-63.461727
875.000000	-64.798470
890.625000	-66.630577
906.250000	-67.936104
921.875000	-68.777069
937.500000	-69.151657
953.125000	-69.072037
968.750000	-69.075058
984.375000	-68.674156
1000.000000	-67.821205
1015.625000	-67.036064
1031.250000	-66.355988
1046.875000	-65.541420
1062.500000	-64.788162
1078.125000	-63.956161
1093.750000	-63.847847
1109.375000	-63.940868
1125.000000	-63.952435
1140.625000	-64.181633
1156.250000	-64.374420
1171.875000	-64.667992
1187.500000	-64.986420
1203.125000	-65.265045
1218.750000	-65.564018
1234.375000	-65.651375
1250.000000	-65.532639
1265.625000	-65.496078
1281.250000	-65.264297
1296.875000	-65.059616
1312.500000	-64.421013
1328.125000	-63.494644
1343.750000	-62.405731
1359.375000	-61.074856
1375.000000	-58.702675
1390.625000	-55.890045
1406.250000	-53.101387
1421.875000	-51.991238
1437.500000	-53.009258
1453.125000	-55.340321
