Frequency (Hz)	Level (dB)
15.625000	-58.881557
31.250000	-53.639194
46.875000	-52.058731
62.500000	-52.198833
78.125000	-52.565975
93.750000	-53.316383
109.375000	-53.941307
125.000000	-54.321873
140.625000	-55.450813
156.250000	-55.365265
171.875000	-54.331875
187.500000	-53.215225
203.125000	-51.413170
218.750000	-48.122971
234.375000	-44.653889
250.000000	-43.802349
265.625000	-46.632992
281.250000	-51.104168
296.875000	-54.285404
312.500000	-56.588753
328.125000	-58.117390
343.750000	-59.198891
359.375000	-59.604130
375.000000	-59.877983
390.625000	-60.038586
406.250000	-59.784641
421.875000	-59.249218
437.500000	-58.485714
453.125000	-57.068367
468.750000	-55.438999
484.375000	-53.353947
500.000000	-51.106556
515.625000	-50.759235
531.250000	-52.713661
546.875000	-55.475910
562.500000	-57.801147
578.125000	-59.106716
593.750000	-60.001297
609.375000	-60.850201
625.000000	-61.153332
640.625000	-61.516205
656.250000	-61.269241
671.875000	-60.839848
687.500000	-59.570297
703.125000	-57.897106
718.750000	-55.813606
734.375000	-54.039330
750.000000	-53.675343
765.625000	-54.253769
781.250000	-54.955395
796.875000	-55.911179
812.500000	-57.385895
828.125000	-59.092072
843.750000	-60.195004
859.375000	-61.203148
875.000000	-61.938801
890.625000	-61.942642
906.250000	-61.604286
921.875000	-61.054451
937.500000	-60.526012
953.125000	-59.931843
968.750000	-59.068024
984.375000	-58.140976
1000.000000	-57.540119
1015.625000	-57.731487
1031.250000	-58.226460
1046.875000	-58.654869
1062.500000	-58.997780
1078.125000	-59.406567
1093.750000	-59.988010
1109.375000	-60.319794
1125.000000	-60.356548
1140.625000	-60.543552
1156.250000	-60.773499
1171.875000	-60.822067
1187.500000	-60.695343
1203.125000	-60.401627
1218.750000	-59.765526
1234.375000	-58.888123
1250.000000	-57.559357
1265.625000	-55.925827
1281.250000	-53.519886
1296.875000	-50.746006
1312.500000	-49.166569
1328.125000	-49.769115
1343.750000	-52.165031
1359.375000	-54.594288
1375.000000	-56.422077
1390.625000	-57.506218
1406.250000	-58.218224
1421.875000	-58.526501
1437.500000	-58.324650
1453.125000	-57.870354
1468.750000	-57.351486
1484.375000	-56.241848
1500.000000	-54.462143
1515.625000	-52.477577
1531.250000	-50.227699
1546.875000	-48.800133
1562.500000	-49.036636
1578.125000	-50.981487
1593.750000	-53.145752
1609.375000	-54.839569
1625.000000	-56.433418
1640.625000	-57.129009
1656.250000	-57.482178
1671.875000	-57.899754
1687.500000	-58.022865
1703.125000	-57.672298
1718.750000	-57.047676
1734.375000	-56.040623
1750.000000	-54.766853
1765.625000	-53.525028
1781.250000	-52.122662
1796.875000	-51.157188
1812.500000	-51.387276
1828.125000	-52.310745
1843.750000	-53.448513
1859.375000	-54.793404
1875.000000	-55.912601
1890.625000	-56.739845
1906.250000	-57.697701
1921.875000	-58.077736
1937.500000	-58.255127
1953.125000	-57.967697
1968.750000	-57.689350
1984.375000	-57.674282
2000.000000	-56.777943
2015.625000	-56.362267
2031.250000	-55.750118
2046.875000	-54.938419
2062.500000	-54.457798
2078.125000	-54.379005
2093.750000	-54.225536
2109.375000	-54.589779
2125.000000	-55.395451
2140.625000	-56.414761
2156.250000	-56.994583
2171.875000	-57.457703
2187.500000	-58.539860
2203.125000	-58.799511
2218.750000	-58.672035
2234.375000	-58.729050
2250.000000	-58.766590
2265.625000	-58.425735
2281.250000	-57.698185
2296.875000	-56.786289
2312.500000	-55.746143
2328.125000	-54.950062
2343.750000	-54.371746
2359.375000	-54.296989
2375.000000	-54.463230
2390.625000	-55.061306
2406.250000	-56.084053
2421.875000	-57.093723
2437.500000	-58.202522
2453.125000	-58.966103
2468.750000	-59.440281
2484.375000	-59.793892
2500.000000	-59.547844
2515.625000	-59.256374
2531.250000	-58.869686
2546.875000	-58.144764
2562.500000	-57.246967
2578.125000	-55.923309
2593.750000	-54.508976
2609.375000	-53.198624
2625.000000	-52.525200
2640.625000	-53.169243
2656.250000	-54.671692
2671.875000	-56.365822
2687.500000	-57.817013
2703.125000	-58.856556
2718.750000	-59.371319
2734.375000	-59.907059
2750.000000	-60.175655
2765.625000	-60.275589
2781.250000	-60.251556
2796.875000	-59.339962
2812.500000	-58.182312
2828.125000	-56.904408
2843.750000	-55.088467
2859.375000	-53.166225
2875.000000	-51.707134
2890.625000	-51.899921
2906.250000	-53.558647
2921.875000	-55.528137
2937.500000	-57.592289
2953.125000	-58.979076
2968.750000	-60.064434
2984.375000	-60.531799
3000.000000	-60.857410
3015.625000	-60.849815
3031.250000	-60.406937
3046.875000	-59.782505
3062.500000	-59.017902
3078.125000	-57.549713
3093.750000	-55.744972
3109.375000	-53.662018
3125.000000	-51.648243
3140.625000	-51.077984
3156.250000	-52.226440
3171.875000	-54.308201
3187.500000	-56.434711
3203.125000	-58.253910
3218.750000	-59.646507
3234.375000	-60.346821
3250.000000	-60.584095
3265.625000	-60.714230
3281.250000	-60.484009
3296.875000	-59.941170
3312.500000	-59.393383
3328.125000	-58.086891
3343.750000	-56.465958
3359.375000	-54.424999
3375.000000	-52.088184
3390.625000	-50.544281
3406.250000	-51.054127
3421.875000	-53.157604
3437.500000	-55.262203
3453.125000	-57.166164
3468.750000	-58.496990
3484.375000	-59.605686
3500.000000	-60.235313
3515.625000	-60.517456
3531.250000	-60.203789
3546.875000	-59.553276
3562.500000	-58.936623
3578.125000	-58.117523
3593.750000	-56.740719
3609.375000	-54.815907
3625.000000	-52.516624
3640.625000	-50.854462
3656.250000	-50.897087
3671.875000	-52.166237
3687.500000	-54.107311
3703.125000	-56.227306
3718.750000	-57.744034
3734.375000	-58.663300
3750.000000	-59.276661
3765.625000	-59.674404
3781.250000	-59.936363
3796.875000	-59.731441
3812.500000	-59.450840
3828.125000	-58.666904
3843.750000	-57.737019
3859.375000	-56.201828
3875.000000	-54.342258
3890.625000	-52.455387
3906.250000	-51.311810
3921.875000	-51.480625
3937.500000	-53.100266
3953.125000	-55.508087
3968.750000	-57.415501
3984.375000	-58.874222
4000.000000	-59.972893
4015.625000	-60.787975
4031.250000	-61.137169
4046.875000	-61.434837
4062.500000	-61.194023
4078.125000	-60.821339
4093.750000	-60.329849
4109.375000	-59.494251
4125.000000	-58.129059
4140.625000	-55.951427
4156.250000	-53.955299
4171.875000	-53.033115
4187.500000	-53.855556
4203.125000	-56.164330
4218.750000	-58.558506
4234.375000	-60.534355
4250.000000	-61.976196
4265.625000	-62.884773
4281.250000	-63.634674
4296.875000	-64.220680
4312.500000	-64.607315
4328.125000	-64.582436
4343.750000	-63.745872
4359.375000	-62.994217
4375.000000	-61.681980
4390.625000	-60.030228
4406.250000	-58.045856
4421.875000	-56.164558
4437.500000	-55.961849
4453.125000	-57.517498
4468.750000	-59.988201
4484.375000	-62.364407
4500.000000	-64.350143
4515.625000	-65.741096
4531.250000	-66.456940
4546.875000	-66.898338
4562.500000	-67.266785
4578.125000	-67.691437
4593.750000	-67.601677
4609.375000	-66.759293
4625.000000	-65.890800
4640.625000	-64.360886
4656.250000	-62.241699
4671.875000	-59.848835
4687.500000	-58.712482
4703.125000	-59.143955
4718.750000	-61.574326
4734.375000	-64.392715
4750.000000	-66.221786
4765.625000	-67.704292
4781.250000	-68.824707
4796.875000	-69.719704
4812.500000	-70.420578
4828.125000	-70.583847
4843.750000	-70.426758
4859.375000	-70.100349
4875.000000	-69.171631
4890.625000	-67.603615
4906.250000	-66.159714
4921.875000	-63.655159
4937.500000	-61.804913
4953.125000	-61.623974
4968.750000	-63.521477
4984.375000	-66.447121
5000.000000	-68.225243
5015.625000	-69.717049
5031.250000	-71.138573
5046.875000	-71.948425
5062.500000	-72.548286
5078.125000	-73.151924
5093.750000	-73.008797
5109.375000	-72.781967
5125.000000	-71.923111
5140.625000	-70.785507
5156.250000	-69.611458
5171.875000	-67.768677
5187.500000	-65.765999
5203.125000	-64.808136
5218.750000	-65.430664
5234.375000	-67.273239
5250.000000	-69.537682
5265.625000	-71.662956
5281.250000	-72.922195
5296.875000	-74.019257
5312.500000	-74.769905
5328.125000	-75.122963
5343.750000	-74.975693
5359.375000	-74.909119
5375.000000	-74.547104
5390.625000	-73.767960
5406.250000	-72.759827
5421.875000	-71.073151
5437.500000	-69.467911
5453.125000	-67.871361
5468.750000	-67.657753
5484.375000	-68.860573
5500.000000	-70.752907
5515.625000	-72.587791
5531.250000	-74.046860
5546.875000	-75.330849
5562.500000	-76.252495
5578.125000	-76.832146
5593.750000	-77.126724
5609.375000	-76.875099
5625.000000	-76.699158
5640.625000	-76.077728
5656.250000	-75.366821
5671.875000	-74.047409
5687.500000	-72.840973
5703.125000	-71.405190
5718.750000	-70.423149
5734.375000	-70.841682
5750.000000	-72.201584
5765.625000	-73.577248
5781.250000	-75.209808
5796.875000	-76.526009
5812.500000	-77.377670
5828.125000	-77.947403
5843.750000	-78.488998
5859.375000	-78.682915
5875.000000	-78.451401
5890.625000	-78.054314
5906.250000	-77.673119
5921.875000	-76.925568
5937.500000	-75.897774
5953.125000	-74.867592
5968.750000	-73.535904
5984.375000	-72.458725
6000.000000	-72.556129
6015.625000	-73.463799
6031.250000	-74.637459
6046.875000	-75.960114
6062.500000	-77.292099
6078.125000	-78.311363
6093.750000	-78.935814
6109.375000	-79.264145
6125.000000	-79.596535
6140.625000	-79.567017
6156.250000	-79.234619
6171.875000	-78.865608
6187.500000	-78.221649
6203.125000	-77.084496
