Frequency (Hz)	Level (dB)
15.625000	-64.930809
31.250000	-73.761368
46.875000	-72.083725
62.500000	-68.351105
78.125000	-60.075981
93.750000	-57.025433
109.375000	-56.421364
125.000000	-55.943932
140.625000	-55.620541
156.250000	-54.626057
171.875000	-53.207085
187.500000	-51.284645
203.125000	-48.620560
218.750000	-44.878918
234.375000	-40.737698
250.000000	-39.245804
265.625000	-41.539143
281.250000	-45.256981
296.875000	-48.030560
312.500000	-49.842316
328.125000	-50.993988
343.750000	-51.665936
359.375000	-51.936897
375.000000	-51.853634
390.625000	-51.465141
406.250000	-50.816486
421.875000	-49.976501
437.500000	-48.861881
453.125000	-47.356880
468.750000	-45.304672
484.375000	-42.622154
500.000000	-40.153671
515.625000	-39.636810
531.250000	-41.450802
546.875000	-44.052814
562.500000	-46.049610
578.125000	-47.268467
593.750000	-48.014687
609.375000	-48.538353
625.000000	-48.817139
640.625000	-48.761253
656.250000	-48.321297
671.875000	-47.460091
687.500000	-46.129215
703.125000	-44.316895
718.750000	-42.238708
734.375000	-40.530796
750.000000	-39.761433
765.625000	-39.780209
781.250000	-40.296528
796.875000	-41.372734
812.500000	-42.846497
828.125000	-44.273697
843.750000	-45.375542
859.375000	-46.088894
875.000000	-46.401669
890.625000	-46.353580
906.250000	-46.005482
921.875000	-45.432632
937.500000	-44.722843
953.125000	-43.920998
968.750000	-43.025513
984.375000	-42.129723
1000.000000	-41.502216
1015.625000	-41.331390
1031.250000	-41.464981
1046.875000	-41.629791
1062.500000	-41.782558
1078.125000	-42.070076
1093.750000	-42.468319
1109.375000	-42.746376
1125.000000	-42.845066
1140.625000	-42.899948
1156.250000	-42.912380
1171.875000	-42.811096
1187.500000	-42.596786
1203.125000	-42.249016
1218.750000	-41.666615
1234.375000	-40.729919
1250.000000	-39.335812
1265.625000	-37.383240
1281.250000	-34.797291
1296.875000	-31.945274
1312.500000	-30.253218
1328.125000	-30.857124
1343.750000	-33.066036
1359.375000	-35.321377
1375.000000	-36.983063
1390.625000	-38.078773
1406.250000	-38.712765
1421.875000	-38.958275
1437.500000	-38.851841
1453.125000	-38.404266
1468.750000	-37.605667
1484.375000	-36.423599
1500.000000	-34.812294
1515.625000	-32.751797
1531.250000	-30.466715
1546.875000	-28.803715
1562.500000	-28.758326
1578.125000	-30.276396
1593.750000	-32.315990
1609.375000	-34.074909
1625.000000	-35.375095
1640.625000	-36.257053
1656.250000	-36.783218
1671.875000	-36.998722
1687.500000	-36.924778
1703.125000	-36.572433
1718.750000	-35.944748
1734.375000	-35.042583
1750.000000	-33.879391
1765.625000	-32.521717
1781.250000	-31.173056
1796.875000	-30.216566
1812.500000	-30.032793
1828.125000	-30.668053
1843.750000	-31.790504
1859.375000	-33.000431
1875.000000	-34.062809
1890.625000	-34.898891
1906.250000	-35.499596
1921.875000	-35.875198
1937.500000	-36.039673
1953.125000	-36.007496
1968.750000	-35.792812
1984.375000	-35.411270
2000.000000	-34.884899
2015.625000	-34.245079
2031.250000	-33.536324
2046.875000	-32.809471
2062.500000	-32.122082
2078.125000	-31.586067
2093.750000	-31.393734
2109.375000	-31.673111
2125.000000	-32.339397
2140.625000	-33.173462
2156.250000	-33.987633
2171.875000	-34.679462
2187.500000	-35.207268
2203.125000	-35.560143
2218.750000	-35.734940
2234.375000	-35.728680
2250.000000	-35.536762
2265.625000	-35.153160
2281.250000	-34.573841
2296.875000	-33.806015
2312.500000	-32.881340
2328.125000	-31.882696
2343.750000	-30.983517
2359.375000	-30.444159
2375.000000	-30.482346
2390.625000	-31.094687
2406.250000	-32.052582
2421.875000	-33.081509
2437.500000	-34.008297
2453.125000	-34.754456
2468.750000	-35.288837
2484.375000	-35.599068
2500.000000	-35.677197
2515.625000	-35.513390
2531.250000	-35.092022
2546.875000	-34.393204
2562.500000	-33.393311
2578.125000	-32.084610
2593.750000	-30.538784
2609.375000	-29.060888
2625.000000	-28.240820
2640.625000	-28.534441
2656.250000	-29.775732
2671.875000	-31.362717
2687.500000	-32.824268
2703.125000	-33.989273
2718.750000	-34.834244
2734.375000	-35.373817
2750.000000	-35.624321
2765.625000	-35.592644
2781.250000	-35.273987
2796.875000	-34.648872
2812.500000	-33.682175
2828.125000	-32.327381
2843.750000	-30.557001
2859.375000	-28.521183
2875.000000	-26.872419
2890.625000	-26.561707
2906.250000	-27.796789
2921.875000	-29.779030
2937.500000	-31.655399
2953.125000	-33.128281
2968.750000	-34.192623
2984.375000	-34.895962
3000.000000	-35.275829
3015.625000	-35.353886
3031.250000	-35.134132
3046.875000	-34.604530
3062.500000	-33.735958
3078.125000	-32.474739
3093.750000	-30.753899
3109.375000	-28.573769
3125.000000	-26.380688
3140.625000	-25.292223
3156.250000	-25.957840
3171.875000	-27.906780
3187.500000	-30.064196
3203.125000	-31.800243
3218.750000	-33.065842
3234.375000	-33.924084
3250.000000	-34.431927
3265.625000	-34.622749
3281.250000	-34.509972
3296.875000	-34.091923
3312.500000	-33.347099
3328.125000	-32.234917
3343.750000	-30.687794
3359.375000	-28.648252
3375.000000	-26.367489
3390.625000	-24.881857
3406.250000	-24.842075
3421.875000	-26.111641
3437.500000	-28.182163
3453.125000	-30.133867
3468.750000	-31.592541
3484.375000	-32.612278
3500.000000	-33.258724
3515.625000	-33.577732
3531.250000	-33.590675
3546.875000	-33.305325
3562.500000	-32.711430
3578.125000	-31.780746
3593.750000	-30.465899
3609.375000	-28.716616
3625.000000	-26.635300
3640.625000	-24.988220
3656.250000	-24.475754
3671.875000	-25.010475
3687.500000	-26.471479
3703.125000	-28.391029
3718.750000	-30.030296
3734.375000	-31.249996
3750.000000	-32.098202
3765.625000	-32.623795
3781.250000	-32.856861
3796.875000	-32.810303
3812.500000	-32.483463
3828.125000	-31.856825
3843.750000	-30.898355
3859.375000	-29.561382
3875.000000	-27.805977
3890.625000	-25.894327
3906.250000	-24.684322
3921.875000	-24.572128
3937.500000	-25.472229
3953.125000	-27.274380
3968.750000	-29.275696
3984.375000	-30.899649
4000.000000	-32.119511
4015.625000	-32.985584
4031.250000	-33.538471
4046.875000	-33.807415
4062.500000	-33.802010
4078.125000	-33.516712
4093.750000	-32.927971
4109.375000	-31.996656
4125.000000	-30.664734
4140.625000	-28.898117
4156.250000	-26.903337
4171.875000	-25.521721
4187.500000	-25.673300
4203.125000	-27.354794
4218.750000	-29.657444
4234.375000	-31.735912
4250.000000	-33.375385
4265.625000	-34.603413
4281.250000	-35.475830
4296.875000	-36.032738
4312.500000	-36.296295
4328.125000	-36.266808
4343.750000	-35.931744
4359.375000	-35.261662
4375.000000	-34.201862
4390.625000	-32.681160
4406.250000	-30.690367
4421.875000	-28.635048
4437.500000	-27.649784
4453.125000	-28.565578
4468.750000	-30.838697
4484.375000	-33.258766
4500.000000	-35.243469
4515.625000	-36.751129
4531.250000	-37.850189
4546.875000	-38.598019
4562.500000	-39.031380
4578.125000	-39.169975
4593.750000	-39.010067
4609.375000	-38.531994
4625.000000	-37.695644
4640.625000	-36.434097
4656.250000	-34.670132
4671.875000	-32.475510
4687.500000	-30.583876
4703.125000	-30.285482
4718.750000	-31.930248
4734.375000	-34.457767
4750.000000	-36.765339
4765.625000	-38.553013
4781.250000	-39.872822
4796.875000	-40.798985
4812.500000	-41.385857
4828.125000	-41.660851
4843.750000	-41.633228
4859.375000	-41.290646
4875.000000	-40.603565
4890.625000	-39.518620
4906.250000	-37.963860
4921.875000	-35.933437
4937.500000	-33.843216
4953.125000	-32.838318
4968.750000	-33.736980
4984.375000	-35.970490
5000.000000	-38.334846
5015.625000	-40.260071
5031.250000	-41.709484
5046.875000	-42.755337
5062.500000	-43.452175
5078.125000	-43.835243
5093.750000	-43.925331
5109.375000	-43.719906
5125.000000	-43.198265
5140.625000	-42.325211
5156.250000	-41.047726
5171.875000	-39.332169
5187.500000	-37.347698
5203.125000	-35.827736
5218.750000	-35.764645
5234.375000	-37.280361
5250.000000	-39.471970
5265.625000	-41.491085
5281.250000	-43.085621
5296.875000	-44.270977
5312.500000	-45.102882
5328.125000	-45.623417
5343.750000	-45.854645
5359.375000	-45.802574
5375.000000	-45.460281
5390.625000	-44.803444
5406.250000	-43.800278
5421.875000	-42.422268
5437.500000	-40.724178
5453.125000	-39.065754
5468.750000	-38.230961
5484.375000	-38.792278
5500.000000	-40.447678
5515.625000	-42.382557
5531.250000	-44.075108
5546.875000	-45.400833
5562.500000	-46.376335
5578.125000	-47.037079
5593.750000	-47.416115
5609.375000	-47.528187
5625.000000	-47.377563
5640.625000	-46.959103
5656.250000	-46.262474
5671.875000	-45.270519
5687.500000	-43.997673
5703.125000	-42.573261
5718.750000	-41.378208
5734.375000	-40.967682
5750.000000	-41.588856
5765.625000	-42.929981
5781.250000	-44.449879
5796.875000	-45.815174
5812.500000	-46.914814
5828.125000	-47.738937
5843.750000	-48.303432
5859.375000	-48.625240
5875.000000	-48.709438
5890.625000	-48.559174
5906.250000	-48.166668
5921.875000	-47.526920
5937.500000	-46.631920
5953.125000	-45.501286
5968.750000	-44.225601
5984.375000	-43.065590
6000.000000	-42.452641
6015.625000	-42.711597
6031.250000	-43.745403
6046.875000	-45.139057
6062.500000	-46.511784
6078.125000	-47.679005
6093.750000	-48.585777
6109.375000	-49.236633
6125.000000	-49.635952
6140.625000	-49.787807
6156.250000	-49.696339
6171.875000	-49.346809
6187.500000	-48.725967
6203.125000	-47.812519
6218.750000	-46.602634
6234.375000	-45.178234
6250.000000	-43.843327
6265.625000	-43.168858
6281.250000	-43.584133
6296.875000	-44.929409
6312.500000	-46.629044
6328.125000	-48.218498
6343.750000	-49.527328
6359.375000	-50.533298
6375.000000	-51.251175
6390.625000	-51.697433
6406.250000	-51.879433
6421.875000	-51.796841
6437.500000	-51.438065
6453.125000	-50.781654
6468.750000	-49.795269
6484.375000	-48.472366
6500.000000	-46.925846
6515.625000	-45.606861
6531.250000	-45.248222
6546.875000	-46.200554
6562.500000	-48.023006
6578.125000	-49.988113
6593.750000	-51.699562
6609.375000	-53.070210
6625.000000	-54.111782
6640.625000	-54.857922
6656.250000	-55.333076
6671.875000	-55.539650
6687.500000	-55.475739
6703.125000	-55.125443
6718.750000	-54.457729
6734.375000	-53.441914
6750.000000	-52.078712
6765.625000	-50.533360
6781.250000	-49.414970
6796.875000	-49.525444
6812.500000	-50.992928
6828.125000	-53.174316
6843.750000	-55.349110
6859.375000	-57.154484
6875.000000	-58.582264
6890.625000	-59.678303
6906.250000	-60.482716
6921.875000	-61.018227
6937.500000	-61.281853
6953.125000	-61.269569
6968.750000	-60.955971
6984.375000	-60.309689
7000.000000	-59.291862
7015.625000	-57.931374
7031.250000	-56.508137
7046.875000	-55.822578
7062.500000	-56.611877
7078.125000	-58.685162
7093.750000	-61.161404
7109.375000	-63.399517
7125.000000	-65.270233
7140.625000	-66.790398
7156.250000	-67.976097
7171.875000	-68.874840
7187.500000	-69.500343
7203.125000	-69.863327
7218.750000	-69.894173
7234.375000	-69.606346
7250.000000	-68.826546
7265.625000	-67.072098
7281.250000	-64.200439
7296.875000	-62.258385
7312.500000	-62.025593
7328.125000	-63.051842
7343.750000	-65.215881
7359.375000	-69.105881
7375.000000	-73.697998
7390.625000	-76.369591
7406.250000	-77.902908
7421.875000	-79.266373
7437.500000	-80.368935
7453.125000	-81.201149
7468.750000	-81.793472
7484.375000	-82.088058
7500.000000	-82.192543
7515.625000	-81.881592
7531.250000	-81.298073
7546.875000	-80.630630
7562.500000	-80.554962
7578.125000	-82.038063
7593.750000	-83.823120
7609.375000	-84.920830
7625.000000	-86.076408
7640.625000	-86.289452
7656.250000	-86.178200
7671.875000	-87.529411
7687.500000	-90.310097
7703.125000	-94.275650
7718.750000	-97.504723
7734.375000	-99.149086
7750.000000	-100.711853
7765.625000	-102.571747
7781.250000	-101.936737
7796.875000	-100.101532
7812.500000	-100.016075
7828.125000	-102.914825
7843.750000	-107.836853
7859.375000	-113.997322
7875.000000	-122.354965
7890.625000	-134.117020
7906.250000	-145.575165
7921.875000	-152.736237
7937.500000	-156.776993
7953.125000	-157.473770
7968.750000	-157.775848
7984.375000	-157.870377
