Frequency (Hz)	Level (dB)
15.625000	-70.499695
31.250000	-65.669121
46.875000	-63.866413
62.500000	-62.682533
78.125000	-61.660912
93.750000	-61.845478
109.375000	-62.054459
125.000000	-61.989716
140.625000	-63.323940
156.250000	-62.887039
171.875000	-61.874485
187.500000	-60.298370
203.125000	-58.102451
218.750000	-54.378910
234.375000	-50.460178
250.000000	-49.556179
265.625000	-52.463360
281.250000	-56.402431
296.875000	-59.585209
312.500000	-61.603123
328.125000	-62.761269
343.750000	-63.718651
359.375000	-64.252396
375.000000	-64.225571
390.625000	-64.101440
406.250000	-63.642334
421.875000	-62.853321
437.500000	-61.688313
453.125000	-60.351723
468.750000	-58.643242
484.375000	-56.412437
500.000000	-54.175663
515.625000	-53.622826
531.250000	-55.405228
546.875000	-58.134644
562.500000	-60.302780
578.125000	-61.582443
593.750000	-62.585552
609.375000	-63.010662
625.000000	-63.241592
640.625000	-63.226967
656.250000	-63.067142
671.875000	-62.568207
687.500000	-61.202995
703.125000	-59.540394
718.750000	-57.501938
734.375000	-55.507263
750.000000	-54.984154
765.625000	-55.350212
781.250000	-56.065281
796.875000	-57.245163
812.500000	-58.666183
828.125000	-60.133278
843.750000	-61.175484
859.375000	-61.760212
875.000000	-62.359581
890.625000	-62.490570
906.250000	-62.189686
921.875000	-61.729275
937.500000	-61.077618
953.125000	-60.205082
968.750000	-59.412178
984.375000	-58.590569
1000.000000	-58.092751
1015.625000	-57.924465
1031.250000	-58.211765
1046.875000	-58.816238
1062.500000	-59.056740
1078.125000	-59.205231
1093.750000	-59.500206
1109.375000	-59.772659
1125.000000	-60.293419
1140.625000	-60.501057
1156.250000	-60.112907
1171.875000	-59.975906
1187.500000	-59.909950
1203.125000	-59.648056
1218.750000	-59.122166
1234.375000	-58.415501
1250.000000	-56.868065
1265.625000	-54.860912
1281.250000	-52.293716
1296.875000	-49.418884
1312.500000	-47.790253
1328.125000	-48.838097
1343.750000	-51.136761
1359.375000	-53.382000
1375.000000	-54.933064
1390.625000	-56.225285
1406.250000	-57.032360
1421.875000	-57.191269
1437.500000	-57.017590
1453.125000	-56.537823
1468.750000	-55.802193
1484.375000	-54.605431
1500.000000	-53.020081
1515.625000	-50.985722
1531.250000	-48.859329
1546.875000	-47.281311
1562.500000	-47.328686
1578.125000	-48.953770
1593.750000	-51.059734
1609.375000	-53.110966
1625.000000	-54.237530
1640.625000	-55.106796
1656.250000	-55.493271
1671.875000	-55.594337
1687.500000	-55.546207
1703.125000	-55.215145
1718.750000	-54.623295
1734.375000	-53.557297
1750.000000	-52.408798
1765.625000	-51.067863
1781.250000	-49.839996
1796.875000	-49.063751
1812.500000	-49.114758
1828.125000	-49.773422
1843.750000	-50.991375
1859.375000	-52.502865
1875.000000	-53.673779
1890.625000	-54.352287
1906.250000	-54.900097
1921.875000	-55.431652
1937.500000	-55.478207
1953.125000	-55.302956
1968.750000	-55.039188
1984.375000	-54.739082
2000.000000	-54.098595
2015.625000	-53.519157
2031.250000	-52.929848
2046.875000	-52.115814
2062.500000	-51.715305
2078.125000	-51.468277
2093.750000	-51.488209
2109.375000	-51.673370
2125.000000	-52.228695
2140.625000	-53.205257
2156.250000	-53.969936
2171.875000	-54.705734
2187.500000	-55.392365
2203.125000	-55.542442
2218.750000	-55.729378
2234.375000	-55.693249
2250.000000	-55.260777
2265.625000	-54.789761
2281.250000	-54.379158
2296.875000	-53.693947
2312.500000	-52.757019
2328.125000	-52.005737
2343.750000	-51.229053
2359.375000	-50.862160
2375.000000	-50.869072
2390.625000	-51.518410
2406.250000	-52.372673
2421.875000	-53.663734
2437.500000	-54.646839
2453.125000	-55.275490
2468.750000	-55.648212
2484.375000	-56.069992
2500.000000	-56.180683
2515.625000	-56.113846
2531.250000	-55.615723
2546.875000	-55.017281
2562.500000	-53.702938
2578.125000	-52.160019
2593.750000	-50.846832
2609.375000	-49.686821
2625.000000	-49.084274
2640.625000	-49.465508
2656.250000	-50.891266
2671.875000	-52.331066
2687.500000	-53.854134
2703.125000	-55.241379
2718.750000	-55.917286
2734.375000	-56.487629
2750.000000	-56.592739
2765.625000	-56.523056
2781.250000	-56.121971
2796.875000	-55.543591
2812.500000	-54.607815
2828.125000	-53.320026
2843.750000	-51.151932
2859.375000	-49.086105
2875.000000	-47.673927
2890.625000	-47.661236
2906.250000	-49.154930
2921.875000	-51.205776
2937.500000	-53.217796
2953.125000	-54.645271
2968.750000	-55.508995
2984.375000	-56.080257
3000.000000	-56.211014
3015.625000	-56.413963
3031.250000	-56.184353
3046.875000	-55.706299
3062.500000	-54.832474
3078.125000	-53.641956
3093.750000	-51.784412
3109.375000	-49.283985
3125.000000	-47.214729
3140.625000	-46.843853
3156.250000	-48.092350
3171.875000	-49.960297
3187.500000	-51.979645
3203.125000	-53.649281
3218.750000	-55.031712
3234.375000	-56.030453
3250.000000	-56.200661
3265.625000	-56.183437
3281.250000	-56.030109
3296.875000	-55.448997
3312.500000	-54.597000
3328.125000	-53.619747
3343.750000	-52.011822
3359.375000	-49.666668
3375.000000	-47.459465
3390.625000	-46.000275
3406.250000	-46.354935
3421.875000	-48.498428
3437.500000	-50.659489
3453.125000	-52.465244
3468.750000	-53.773430
3484.375000	-54.720097
3500.000000	-55.204521
