Frequency (Hz)	Level (dB)
15.625000	-74.704796
31.250000	-71.227516
46.875000	-69.266541
62.500000	-68.149292
78.125000	-66.017303
93.750000	-66.283974
109.375000	-66.437042
125.000000	-66.218559
140.625000	-72.280388
156.250000	-73.886253
171.875000	-73.650032
187.500000	-72.664948
203.125000	-70.890953
218.750000	-66.301796
234.375000	-61.133934
250.000000	-62.196377
265.625000	-66.533379
281.250000	-70.610466
296.875000	-73.575890
312.500000	-75.322304
328.125000	-76.840256
343.750000	-77.840324
359.375000	-78.128296
375.000000	-78.383553
390.625000	-78.677696
406.250000	-78.309166
421.875000	-78.040924
437.500000	-77.848633
453.125000	-76.754677
468.750000	-75.046646
484.375000	-73.051025
500.000000	-70.921066
515.625000	-70.529564
531.250000	-72.531090
546.875000	-75.148758
562.500000	-77.128311
578.125000	-78.622131
593.750000	-79.530403
609.375000	-80.139687
625.000000	-80.300827
640.625000	-80.591248
656.250000	-80.450325
671.875000	-79.782097
687.500000	-78.935196
703.125000	-77.196838
718.750000	-75.257843
734.375000	-73.910973
750.000000	-73.495506
765.625000	-73.953644
781.250000	-74.451782
796.875000	-75.428589
812.500000	-77.002708
828.125000	-78.564026
843.750000	-79.668922
859.375000	-80.464981
875.000000	-80.822266
890.625000	-81.231491
906.250000	-80.812157
921.875000	-80.418381
937.500000	-80.041069
953.125000	-79.242325
968.750000	-78.480675
984.375000	-77.779350
1000.000000	-77.317513
1015.625000	-77.254204
1031.250000	-77.809158
1046.875000	-78.492401
1062.500000	-78.952835
1078.125000	-79.539383
1093.750000	-79.971825
1109.375000	-80.149368
1125.000000	-80.242905
1140.625000	-80.121147
1156.250000	-80.248596
1171.875000	-80.506409
1187.500000	-80.294189
1203.125000	-79.924873
1218.750000	-79.498276
1234.375000	-78.829750
1250.000000	-77.829262
1265.625000	-76.035255
1281.250000	-73.543587
1296.875000	-70.790451
1312.500000	-69.330803
1328.125000	-70.020523
1343.750000	-72.387245
1359.375000	-74.548706
1375.000000	-76.171089
1390.625000	-77.338333
1406.250000	-77.955269
1421.875000	-78.417496
1437.500000	-78.162262
1453.125000	-77.931274
1468.750000	-77.139709
1484.375000	-75.974846
1500.000000	-74.607056
1515.625000	-72.712296
1531.250000	-70.264175
1546.875000	-68.928261
1562.500000	-69.377243
1578.125000	-70.883522
1593.750000	-73.239342
1609.375000	-75.140556
1625.000000	-76.119339
1640.625000	-76.892746
1656.250000	-77.503082
1671.875000	-77.928909
1687.500000	-78.013847
1703.125000	-77.371735
1718.750000	-76.725174
1734.375000	-75.844978
1750.000000	-74.802795
1765.625000	-73.368317
1781.250000	-72.319977
1796.875000	-71.491112
1812.500000	-71.727928
1828.125000	-72.351494
1843.750000	-73.490227
1859.375000	-74.917900
1875.000000	-76.148666
1890.625000	-76.884361
1906.250000	-77.450165
1921.875000	-77.542343
1937.500000	-77.967583
1953.125000	-78.171150
1968.750000	-77.911644
1984.375000	-77.522057
2000.000000	-77.157417
2015.625000	-76.491722
2031.250000	-75.701950
2046.875000	-75.031845
2062.500000	-74.605644
2078.125000	-74.346405
2093.750000	-74.284264
2109.375000	-74.666054
2125.000000	-75.278831
2140.625000	-76.051140
2156.250000	-76.821068
2171.875000	-77.754852
2187.500000	-78.349808
2203.125000	-78.725731
2218.750000	-78.863495
2234.375000	-78.944077
2250.000000	-78.824722
2265.625000	-78.321030
2281.250000	-77.618088
2296.875000	-76.919151
2312.500000	-76.032013
2328.125000	-75.204773
2343.750000	-74.507324
2359.375000	-74.153412
2375.000000	-74.540413
2390.625000	-75.126556
2406.250000	-76.063904
2421.875000	-77.100922
2437.500000	-77.930580
2453.125000	-78.792320
2468.750000	-79.139450
2484.375000	-79.549522
2500.000000	-79.624390
2515.625000	-79.574181
2531.250000	-79.100372
2546.875000	-78.342186
2562.500000	-77.180542
2578.125000	-76.148323
2593.750000	-74.569588
2609.375000	-73.236176
2625.000000	-73.087975
2640.625000	-73.518082
2656.250000	-74.671272
2671.875000	-76.367493
2687.500000	-77.633835
2703.125000	-78.656578
2718.750000	-79.495239
2734.375000	-80.033524
2750.000000	-80.432381
2765.625000	-80.414963
2781.250000	-79.818695
2796.875000	-79.367203
2812.500000	-78.435959
2828.125000	-76.952934
2843.750000	-75.116173
2859.375000	-73.300064
2875.000000	-72.027214
2890.625000	-72.289558
2906.250000	-73.681465
2921.875000	-75.664177
2937.500000	-77.379791
2953.125000	-78.720894
2968.750000	-79.850296
2984.375000	-80.325874
3000.000000	-80.645119
3015.625000	-80.946960
3031.250000	-80.660950
3046.875000	-80.055305
3062.500000	-79.294891
3078.125000	-77.674767
3093.750000	-75.697250
3109.375000	-73.658264
3125.000000	-71.561760
3140.625000	-71.075935
3156.250000	-72.316261
3171.875000	-74.568428
3187.500000	-76.590782
3203.125000	-78.184547
3218.750000	-79.401649
3234.375000	-80.325256
3250.000000	-80.779037
3265.625000	-80.709450
3281.250000	-80.487434
3296.875000	-80.162720
3312.500000	-79.144203
3328.125000	-78.115334
3343.750000	-76.714310
3359.375000	-74.483582
3375.000000	-72.315582
3390.625000	-70.956924
3406.250000	-71.600403
3421.875000	-73.354851
3437.500000	-75.246475
3453.125000	-77.297089
3468.750000	-78.485641
3484.375000	-79.370293
3500.000000	-79.883842
3515.625000	-80.283150
3531.250000	-80.412895
3546.875000	-80.024239
3562.500000	-79.223534
3578.125000	-78.149055
3593.750000	-76.870224
3609.375000	-74.902069
3625.000000	-72.871468
3640.625000	-71.248817
3656.250000	-70.872047
3671.875000	-72.128731
3687.500000	-74.318367
3703.125000	-76.217293
3718.750000	-77.522041
3734.375000	-78.610580
3750.000000	-79.413376
3765.625000	-79.972343
3781.250000	-80.178757
3796.875000	-79.788849
3812.500000	-79.494629
3828.125000	-78.670364
3843.750000	-77.695000
3859.375000	-76.311111
3875.000000	-74.637405
3890.625000	-72.500549
3906.250000	-71.437424
3921.875000	-71.916740
3937.500000	-73.552277
3953.125000	-75.715767
3968.750000	-77.643555
3984.375000	-78.825226
4000.000000	-79.997238
4015.625000	-80.943398
4031.250000	-81.376030
4046.875000	-81.524643
4062.500000	-81.625519
4078.125000	-81.035080
4093.750000	-80.252617
4109.375000	-79.222420
4125.000000	-77.960571
4140.625000	-75.970955
4156.250000	-74.010635
4171.875000	-73.097404
4187.500000	-74.063393
4203.125000	-76.366081
4218.750000	-78.534142
4234.375000	-80.316475
4250.000000	-81.814247
4265.625000	-82.945358
4281.250000	-83.489655
4296.875000	-84.035179
4312.500000	-84.107094
4328.125000	-84.041183
4343.750000	-83.700272
4359.375000	-82.913010
4375.000000	-81.918625
4390.625000	-80.335915
4406.250000	-77.876755
4421.875000	-76.138817
4437.500000	-76.083847
4453.125000	-77.760635
4468.750000	-80.223831
4484.375000	-82.422394
4500.000000	-84.069527
