Frequency (Hz)	Level (dB)
15.625000	-76.452431
31.250000	-73.984497
46.875000	-71.804001
62.500000	-69.898209
78.125000	-67.220673
93.750000	-66.790741
109.375000	-66.624542
125.000000	-66.209106
140.625000	-72.919144
156.250000	-74.683617
171.875000	-73.986099
187.500000	-72.444969
203.125000	-69.760818
218.750000	-65.218430
234.375000	-59.931347
250.000000	-59.770653
265.625000	-63.105225
281.250000	-66.822128
296.875000	-69.475159
312.500000	-71.215355
328.125000	-72.150742
343.750000	-72.724091
359.375000	-73.175095
375.000000	-73.101723
390.625000	-72.793442
406.250000	-72.291130
421.875000	-71.650169
437.500000	-70.516762
453.125000	-68.862427
468.750000	-66.995674
484.375000	-64.494972
500.000000	-62.119167
515.625000	-61.752998
531.250000	-63.591404
546.875000	-66.380074
562.500000	-68.067162
578.125000	-69.066956
593.750000	-69.902031
609.375000	-70.355957
625.000000	-70.532860
640.625000	-70.252724
656.250000	-70.002220
671.875000	-69.219528
687.500000	-67.813232
703.125000	-66.104713
718.750000	-64.171494
734.375000	-62.277088
750.000000	-61.251297
765.625000	-61.402893
781.250000	-61.890556
796.875000	-63.137482
812.500000	-64.776436
828.125000	-66.003555
843.750000	-67.048233
859.375000	-67.769440
875.000000	-67.934319
890.625000	-68.196426
906.250000	-67.828903
921.875000	-67.345474
937.500000	-66.526230
953.125000	-65.521729
968.750000	-64.945572
984.375000	-63.935658
1000.000000	-63.179482
1015.625000	-62.897575
1031.250000	-63.195290
1046.875000	-63.667030
1062.500000	-63.824852
1078.125000	-64.159828
1093.750000	-64.367882
1109.375000	-64.674385
1125.000000	-64.711723
1140.625000	-64.787025
1156.250000	-64.783745
1171.875000	-64.672562
1187.500000	-64.431969
1203.125000	-64.251572
1218.750000	-63.782524
1234.375000	-62.726906
1250.000000	-61.175919
1265.625000	-59.282307
1281.250000	-56.707253
1296.875000	-53.911594
1312.500000	-52.075890
1328.125000	-52.563786
1343.750000	-54.710655
1359.375000	-57.165905
1375.000000	-58.755238
1390.625000	-59.713623
1406.250000	-60.507320
1421.875000	-60.638275
1437.500000	-60.412357
