Frequency (Hz)	Level (dB)
15.625000	-60.119286
31.250000	-54.713017
46.875000	-52.814697
62.500000	-52.432869
78.125000	-52.279087
93.750000	-52.777565
109.375000	-53.009197
125.000000	-52.833153
140.625000	-53.342365
156.250000	-52.497971
171.875000	-50.152538
187.500000	-46.870686
203.125000	-42.593155
218.750000	-41.137402
234.375000	-44.494152
250.000000	-49.517483
265.625000	-52.862183
281.250000	-55.286964
296.875000	-56.652035
312.500000	-57.548237
328.125000	-57.873447
343.750000	-57.760895
359.375000	-57.040985
375.000000	-55.814526
390.625000	-54.440559
406.250000	-52.774666
421.875000	-50.940380
437.500000	-49.929440
453.125000	-50.253765
468.750000	-52.180252
484.375000	-54.978737
500.000000	-57.029331
515.625000	-58.631912
531.250000	-59.312500
546.875000	-59.688946
562.500000	-59.739803
578.125000	-59.237194
593.750000	-58.311504
609.375000	-56.600521
625.000000	-53.608833
640.625000	-50.359806
656.250000	-48.714272
671.875000	-50.842045
687.500000	-54.339504
703.125000	-56.424583
718.750000	-57.587879
734.375000	-58.512707
750.000000	-59.477509
765.625000	-59.961739
781.250000	-59.865494
796.875000	-59.149178
812.500000	-58.197506
828.125000	-56.787830
843.750000	-55.303642
859.375000	-54.871956
875.000000	-55.106552
890.625000	-54.925274
906.250000	-55.460022
921.875000	-57.169781
937.500000	-59.150536
953.125000	-60.277203
968.750000	-60.553768
984.375000	-60.376720
1000.000000	-60.070457
1015.625000	-60.062592
1031.250000	-59.739883
1046.875000	-59.126263
1062.500000	-58.373268
1078.125000	-57.634602
1093.750000	-56.810360
1109.375000	-54.854603
1125.000000	-51.997822
1140.625000	-49.191147
1156.250000	-48.588551
1171.875000	-50.583099
1187.500000	-53.334023
1203.125000	-55.358620
1218.750000	-56.329082
1234.375000	-56.759182
1250.000000	-56.765835
1265.625000	-56.391701
1281.250000	-55.534264
1296.875000	-53.850616
1312.500000	-51.149155
1328.125000	-47.513954
1343.750000	-45.130676
1359.375000	-45.775795
1375.000000	-49.008480
1390.625000	-52.000511
1406.250000	-53.901257
1421.875000	-55.211109
1437.500000	-55.758289
1453.125000	-55.880131
1468.750000	-55.808094
1484.375000	-55.249744
1500.000000	-54.276134
1515.625000	-52.554302
1531.250000	-50.417225
1546.875000	-48.129894
1562.500000	-46.911812
1578.125000	-47.858910
1593.750000	-49.883751
1609.375000	-51.833450
1625.000000	-53.561859
1640.625000	-54.571785
1656.250000	-54.994476
1671.875000	-55.426826
1687.500000	-55.476971
1703.125000	-54.960884
1718.750000	-54.170319
1734.375000	-53.285801
1750.000000	-52.129086
1765.625000	-51.200283
1781.250000	-50.747066
1796.875000	-50.840816
1812.500000	-51.669029
1828.125000	-52.685509
1843.750000	-53.535324
1859.375000	-54.542435
1875.000000	-54.993065
1890.625000	-55.552341
1906.250000	-55.882660
1921.875000	-55.939037
1937.500000	-55.737011
1953.125000	-55.300205
1968.750000	-54.774410
1984.375000	-54.308071
2000.000000	-53.265839
2015.625000	-52.615723
2031.250000	-52.123337
2046.875000	-51.757877
2062.500000	-52.104523
2078.125000	-52.916576
2093.750000	-53.617313
2109.375000	-54.655590
2125.000000	-55.435661
2140.625000	-55.875263
2156.250000	-55.979912
2171.875000	-56.001713
2187.500000	-56.194351
2203.125000	-55.624840
2218.750000	-54.573254
2234.375000	-53.483456
2250.000000	-52.238720
2265.625000	-51.057049
2281.250000	-50.246746
2296.875000	-50.399723
2312.500000	-51.564236
2328.125000	-53.228516
2343.750000	-54.854553
2359.375000	-56.164669
2375.000000	-56.711449
2390.625000	-56.947498
2406.250000	-56.907009
2421.875000	-56.450283
2437.500000	-55.701523
2453.125000	-54.321045
2468.750000	-52.332153
2484.375000	-50.326981
2500.000000	-48.509663
2515.625000	-48.752735
2531.250000	-50.732674
2546.875000	-52.993088
2562.500000	-54.905861
2578.125000	-56.301941
2593.750000	-57.162338
2609.375000	-57.627472
2625.000000	-57.471027
2640.625000	-57.283684
2656.250000	-56.288776
2671.875000	-55.118950
2687.500000	-52.793289
2703.125000	-49.918747
2718.750000	-47.464500
2734.375000	-47.741337
2750.000000	-50.160351
2765.625000	-52.964550
2781.250000	-55.452423
2796.875000	-56.734703
2812.500000	-57.442722
2828.125000	-57.998318
2843.750000	-57.987003
2859.375000	-57.792534
2875.000000	-56.718868
2890.625000	-55.359360
2906.250000	-53.215672
2921.875000	-50.253983
2937.500000	-47.682709
2953.125000	-47.255634
2968.750000	-49.643768
2984.375000	-52.719025
3000.000000	-54.974537
3015.625000	-56.396378
3031.250000	-57.413738
3046.875000	-57.946777
3062.500000	-58.098351
3078.125000	-57.577805
3093.750000	-56.951786
3109.375000	-55.703537
3125.000000	-53.653809
3140.625000	-50.771927
3156.250000	-47.347187
3171.875000	-46.244892
3187.500000	-48.087032
3203.125000	-51.270630
3218.750000	-53.967251
3234.375000	-55.855118
3250.000000	-56.784443
3265.625000	-57.413387
3281.250000	-57.432236
3296.875000	-57.128410
3312.500000	-56.702995
3328.125000	-55.492638
3343.750000	-53.632168
3359.375000	-51.241531
3375.000000	-48.014248
3390.625000	-46.022835
3406.250000	-46.882084
3421.875000	-49.769146
3437.500000	-52.354855
3453.125000	-54.392548
3468.750000	-55.673485
3484.375000	-56.587353
3500.000000	-56.933693
3515.625000	-56.683685
3531.250000	-56.099632
3546.875000	-54.756569
3562.500000	-53.400078
3578.125000	-51.281391
3593.750000	-48.746899
3609.375000	-46.613087
3625.000000	-46.671501
3640.625000	-48.724117
3656.250000	-51.550026
3671.875000	-53.628704
3687.500000	-54.962730
3703.125000	-55.991837
3718.750000	-56.648861
3734.375000	-56.659218
3750.000000	-56.295940
3765.625000	-55.752659
3781.250000	-54.547634
3796.875000	-53.053162
3812.500000	-50.871880
3828.125000	-48.231762
3843.750000	-47.110394
3859.375000	-48.316540
3875.000000	-51.068073
3890.625000	-53.876526
3906.250000	-55.951962
3921.875000	-57.105381
3937.500000	-57.918156
3953.125000	-58.791439
3968.750000	-58.867928
3984.375000	-58.470482
4000.000000	-57.767467
4015.625000	-56.304440
4031.250000	-54.273983
4046.875000	-51.722103
4062.500000	-49.325150
4078.125000	-49.568333
4093.750000	-52.406296
4109.375000	-55.842651
4125.000000	-58.308842
4140.625000	-59.856777
4156.250000	-61.154419
4171.875000	-61.598324
4187.500000	-61.890438
4203.125000	-61.924377
4218.750000	-61.332191
4234.375000	-60.140671
4250.000000	-58.251797
4265.625000	-55.525154
4281.250000	-52.762459
4296.875000	-52.104446
4312.500000	-54.539604
4328.125000	-58.110283
4343.750000	-60.505199
4359.375000	-62.316051
4375.000000	-63.731590
4390.625000	-64.558334
4406.250000	-65.027100
4421.875000	-64.971313
4437.500000	-64.483437
4453.125000	-63.385197
4468.750000	-61.723190
4484.375000	-59.427273
4500.000000	-56.952541
4515.625000	-55.659103
4531.250000	-56.800232
4546.875000	-59.624664
4562.500000	-62.352547
4578.125000	-64.833794
4593.750000	-66.609650
4609.375000	-67.189064
4625.000000	-67.714836
4640.625000	-67.689362
4656.250000	-67.174721
4671.875000	-66.145897
4687.500000	-64.885376
4703.125000	-62.681225
4718.750000	-60.412918
4734.375000	-58.623825
4750.000000	-59.224586
4765.625000	-61.954098
4781.250000	-64.776443
4796.875000	-67.007156
4812.500000	-68.630531
4828.125000	-69.626694
4843.750000	-70.235786
4859.375000	-70.425110
4875.000000	-69.982559
4890.625000	-69.143684
4906.250000	-67.963028
4921.875000	-66.070557
4937.500000	-63.808964
4953.125000	-62.055122
4968.750000	-62.645874
4984.375000	-64.775940
5000.000000	-66.856789
5015.625000	-68.651230
5031.250000	-70.216087
5046.875000	-71.234161
5062.500000	-71.806366
5078.125000	-72.440506
5093.750000	-72.071411
5109.375000	-71.720543
5125.000000	-70.604378
5140.625000	-69.343590
5156.250000	-67.930695
5171.875000	-66.343575
5187.500000	-65.581261
5203.125000	-66.169479
5218.750000	-67.628502
5234.375000	-69.228828
5250.000000	-70.928894
5265.625000	-72.392372
5281.250000	-72.981567
5296.875000	-73.445869
5312.500000	-73.554504
5328.125000	-73.314575
5343.750000	-72.527435
5359.375000	-71.790688
5375.000000	-70.587608
5390.625000	-69.136574
5406.250000	-68.128036
5421.875000	-67.519630
5437.500000	-68.091705
5453.125000	-69.272270
5468.750000	-70.666153
5484.375000	-72.113098
5500.000000	-73.153206
5515.625000	-73.869942
5531.250000	-74.215393
5546.875000	-74.237045
5562.500000	-74.138161
5578.125000	-73.480904
5593.750000	-72.468140
5609.375000	-70.895477
5625.000000	-69.322693
5640.625000	-67.588081
5656.250000	-67.159332
5671.875000	-67.978424
5687.500000	-69.745758
5703.125000	-71.717781
5718.750000	-73.067062
5734.375000	-74.323280
5750.000000	-75.204636
5765.625000	-75.161705
5781.250000	-75.119194
5796.875000	-74.820190
5812.500000	-73.907242
5828.125000	-72.507767
5843.750000	-70.780403
5859.375000	-68.692558
5875.000000	-67.173241
5890.625000	-67.380898
5906.250000	-69.288712
5921.875000	-71.602234
5937.500000	-73.313255
5953.125000	-74.848572
5968.750000	-75.638779
5984.375000	-75.982208
6000.000000	-76.106979
6015.625000	-75.924789
6031.250000	-75.128044
6046.875000	-74.007622
6062.500000	-72.279060
6078.125000	-70.024704
6093.750000	-68.165817
6109.375000	-67.813164
6125.000000	-69.226143
6140.625000	-71.432037
6156.250000	-73.473244
6171.875000	-75.126877
6187.500000	-76.351944
6203.125000	-76.850014
6218.750000	-77.182297
6234.375000	-77.258766
6250.000000	-76.974747
6265.625000	-75.886314
6281.250000	-74.119957
6296.875000	-72.183228
6312.500000	-70.108971
6328.125000	-68.746246
6343.750000	-69.724449
6359.375000	-72.025642
6375.000000	-74.276779
6390.625000	-76.155563
6406.250000	-77.665718
6421.875000	-78.503334
6437.500000	-78.795235
6453.125000	-78.950119
6468.750000	-78.944885
6484.375000	-77.996666
6500.000000	-76.887428
6515.625000	-75.205460
6531.250000	-73.011528
6546.875000	-71.145584
6562.500000	-71.135643
6578.125000	-73.064095
6593.750000	-75.746452
6609.375000	-78.190186
6625.000000	-79.593651
6640.625000	-80.624252
6656.250000	-81.584373
6671.875000	-82.175598
6687.500000	-82.058212
6703.125000	-81.390877
6718.750000	-80.693153
6734.375000	-79.182091
6750.000000	-76.934189
6765.625000	-74.887733
6781.250000	-74.413750
6796.875000	-75.912689
6812.500000	-78.657204
6828.125000	-81.213829
6843.750000	-83.022148
6859.375000	-84.306656
6875.000000	-85.466667
6890.625000	-85.889275
6906.250000	-86.201294
6921.875000	-86.382675
6937.500000	-85.820740
6953.125000	-84.509331
6968.750000	-82.740524
6984.375000	-80.791855
7000.000000	-79.589592
7015.625000	-80.184784
7031.250000	-82.733078
7046.875000	-85.493538
7062.500000	-87.658585
7078.125000	-88.988068
7093.750000	-90.185730
7109.375000	-90.764412
7125.000000	-90.765579
7140.625000	-91.092606
7156.250000	-91.039864
7171.875000	-90.484108
7187.500000	-89.482208
7203.125000	-88.014511
7218.750000	-86.640297
7234.375000	-86.670898
7250.000000	-88.681496
7265.625000	-90.861328
7281.250000	-92.250290
7296.875000	-93.241432
7312.500000	-93.878448
7328.125000	-94.393425
7343.750000	-94.381882
7359.375000	-94.294296
7375.000000	-94.334053
7390.625000	-94.329659
7406.250000	-94.076469
7421.875000	-93.761665
7437.500000	-93.404297
7453.125000	-93.256424
7468.750000	-93.941986
7484.375000	-94.730461
7500.000000	-95.117218
7515.625000	-95.525742
7531.250000	-95.759109
7546.875000	-95.815720
7562.500000	-96.285469
7578.125000	-97.020500
7593.750000	-97.845345
7609.375000	-98.816917
7625.000000	-99.525108
7640.625000	-100.333221
7656.250000	-101.899330
7671.875000	-103.506294
7687.500000	-105.240944
7703.125000	-107.444885
7718.750000	-109.678596
7734.375000	-112.144516
7750.000000	-114.734909
7765.625000	-117.783707
7781.250000	-121.110229
7796.875000	-125.010658
7812.500000	-129.111221
7828.125000	-133.699600
7843.750000	-138.618881
7859.375000	-143.668961
7875.000000	-149.786026
7890.625000	-156.592743
