Frequency (Hz)	Level (dB)
15.625000	-77.133957
31.250000	-74.578415
46.875000	-72.029282
62.500000	-69.136536
78.125000	-64.586632
93.750000	-63.916737
109.375000	-63.316727
125.000000	-62.778027
140.625000	-69.593475
156.250000	-70.469856
171.875000	-67.611160
187.500000	-63.197754
203.125000	-58.351200
218.750000	-57.530258
234.375000	-60.725052
250.000000	-65.014656
265.625000	-68.229820
281.250000	-69.612556
296.875000	-70.526016
312.500000	-70.844055
328.125000	-70.646866
343.750000	-69.897484
359.375000	-68.753990
375.000000	-67.149261
390.625000	-65.096405
406.250000	-62.811428
421.875000	-60.981167
437.500000	-60.306839
453.125000	-61.216160
468.750000	-63.280502
484.375000	-65.420784
500.000000	-67.023735
515.625000	-67.986237
531.250000	-68.280052
546.875000	-68.230339
562.500000	-67.851288
578.125000	-66.976868
593.750000	-65.376213
609.375000	-62.848106
625.000000	-59.187145
640.625000	-56.238708
656.250000	-56.581596
671.875000	-59.581429
687.500000	-62.203907
703.125000	-63.525131
718.750000	-64.318420
734.375000	-65.038033
750.000000	-65.519249
765.625000	-65.563873
781.250000	-65.069580
796.875000	-64.023140
812.500000	-62.438465
828.125000	-60.757984
843.750000	-59.838810
859.375000	-59.562172
875.000000	-59.028744
890.625000	-59.278099
906.250000	-61.001625
921.875000	-62.876648
937.500000	-63.979103
953.125000	-64.367836
968.750000	-64.234009
984.375000	-63.850960
1000.000000	-63.489822
1015.625000	-63.107994
1031.250000	-62.577576
1046.875000	-61.839310
1062.500000	-61.006306
1078.125000	-59.936981
1093.750000	-58.047581
1109.375000	-54.980751
1125.000000	-51.813984
1140.625000	-50.911217
1156.250000	-52.770500
1171.875000	-55.441776
1187.500000	-57.340004
1203.125000	-58.413097
1218.750000	-58.834129
1234.375000	-58.707218
1250.000000	-58.057762
1265.625000	-56.846313
1281.250000	-54.923603
1296.875000	-52.030281
1312.500000	-48.341854
1328.125000	-46.051914
1343.750000	-47.087898
1359.375000	-50.285294
1375.000000	-53.081112
1390.625000	-54.857273
1406.250000	-55.881325
1421.875000	-56.353565
1437.500000	-56.388481
1453.125000	-56.025978
1468.750000	-55.206081
1484.375000	-53.866684
1500.000000	-51.953552
1515.625000	-49.542538
1531.250000	-47.341118
1546.875000	-46.661922
1562.500000	-47.884258
1578.125000	-49.999317
1593.750000	-51.902164
1609.375000	-53.240070
1625.000000	-54.060635
1640.625000	-54.454296
1656.250000	-54.459915
1671.875000	-54.123394
1687.500000	-53.470940
1703.125000	-52.533638
1718.750000	-51.401806
1734.375000	-50.283455
1750.000000	-49.504971
1765.625000	-49.361717
1781.250000	-49.869228
1796.875000	-50.766148
1812.500000	-51.732975
1828.125000	-52.574696
1843.750000	-53.205780
1859.375000	-53.614689
1875.000000	-53.809647
1890.625000	-53.815739
1906.250000	-53.641209
1921.875000	-53.293976
1937.500000	-52.789921
1953.125000	-52.110706
1968.750000	-51.261627
1984.375000	-50.400410
2000.000000	-49.762440
2015.625000	-49.503681
2031.250000	-49.669018
2046.875000	-50.172329
2062.500000	-50.863972
2078.125000	-51.596958
2093.750000	-52.254593
2109.375000	-52.757919
2125.000000	-53.059769
2140.625000	-53.124775
2156.250000	-52.930454
2171.875000	-52.443180
2187.500000	-51.636559
2203.125000	-50.499725
2218.750000	-49.093475
2234.375000	-47.712341
2250.000000	-46.918629
2265.625000	-47.165043
2281.250000	-48.321529
2296.875000	-49.809399
2312.500000	-51.155144
2328.125000	-52.170593
2343.750000	-52.814465
2359.375000	-53.081524
2375.000000	-52.969891
2390.625000	-52.470718
2406.250000	-51.536076
2421.875000	-50.103786
2437.500000	-48.134312
2453.125000	-45.930500
2468.750000	-44.555214
2484.375000	-45.012005
2500.000000	-46.965282
2515.625000	-49.184269
2531.250000	-50.945522
2546.875000	-52.165100
2562.500000	-52.899910
2578.125000	-53.192303
2593.750000	-53.058773
2609.375000	-52.486107
2625.000000	-51.422806
2640.625000	-49.753105
2656.250000	-47.349907
2671.875000	-44.501156
2687.500000	-42.793900
2703.125000	-43.632725
2718.750000	-46.286865
2734.375000	-48.919834
2750.000000	-50.822815
2765.625000	-52.064705
2781.250000	-52.778893
2796.875000	-53.037025
2812.500000	-52.859558
2828.125000	-52.236061
2843.750000	-51.104237
2859.375000	-49.334152
2875.000000	-46.731461
2890.625000	-43.516701
2906.250000	-41.544910
2921.875000	-42.503857
2937.500000	-45.498539
2953.125000	-48.327156
2968.750000	-50.285381
2984.375000	-51.536781
3000.000000	-52.240990
3015.625000	-52.488449
3031.250000	-52.300083
3046.875000	-51.662140
3062.500000	-50.517483
3078.125000	-48.739655
3093.750000	-46.117275
3109.375000	-42.768776
3125.000000	-40.516560
3140.625000	-41.260540
3156.250000	-44.250496
3171.875000	-47.161572
3187.500000	-49.168301
3203.125000	-50.443924
3218.750000	-51.161655
3234.375000	-51.407269
3250.000000	-51.218567
3265.625000	-50.591133
3281.250000	-49.465504
3296.875000	-47.733463
3312.500000	-45.221893
3328.125000	-42.043633
3343.750000	-39.770893
3359.375000	-40.227127
3375.000000	-42.917908
3390.625000	-45.732574
3406.250000	-47.739849
3421.875000	-49.033550
3437.500000	-49.776588
3453.125000	-50.060017
3468.750000	-49.915070
3484.375000	-49.339993
3500.000000	-48.296566
3515.625000	-46.698864
3531.250000	-44.427471
3546.875000	-41.619389
3562.500000	-39.507751
3578.125000	-39.667011
3593.750000	-41.894646
3609.375000	-44.508965
3625.000000	-46.529125
3640.625000	-47.916557
3656.250000	-48.788528
3671.875000	-49.230724
3687.500000	-49.282852
3703.125000	-48.947475
3718.750000	-48.191143
3734.375000	-46.939178
3750.000000	-45.074959
3765.625000	-42.556969
3781.250000	-40.114132
3796.875000	-39.457821
3812.500000	-41.221073
3828.125000	-44.076683
3843.750000	-46.550007
3859.375000	-48.345909
3875.000000	-49.575661
3890.625000	-50.334644
3906.250000	-50.675007
3921.875000	-50.620033
3937.500000	-50.141438
3953.125000	-49.161823
3968.750000	-47.556469
3984.375000	-45.178570
4000.000000	-42.384434
4015.625000	-40.990826
4031.250000	-42.358734
4046.875000	-45.470303
4062.500000	-48.365864
4078.125000	-50.469162
4093.750000	-51.912891
4109.375000	-52.837017
4125.000000	-53.321785
4140.625000	-53.386581
4156.250000	-53.007286
4171.875000	-52.134308
4187.500000	-50.641762
4203.125000	-48.325565
4218.750000	-45.347660
4234.375000	-43.457233
4250.000000	-44.455513
4265.625000	-47.628105
4281.250000	-50.748196
4296.875000	-53.004963
4312.500000	-54.544186
4328.125000	-55.523777
4343.750000	-56.041100
4359.375000	-56.125496
4375.000000	-55.770710
4390.625000	-54.915905
4406.250000	-53.445530
4421.875000	-51.187614
4437.500000	-48.312981
4453.125000	-46.446217
4468.750000	-47.309898
4484.375000	-50.284313
4500.000000	-53.283440
4515.625000	-55.474728
4531.250000	-56.973907
4546.875000	-57.927025
4562.500000	-58.433079
4578.125000	-58.520943
4593.750000	-58.181282
4609.375000	-57.361061
4625.000000	-55.936008
4640.625000	-53.785412
4656.250000	-51.056168
4671.875000	-49.195099
4687.500000	-49.852333
4703.125000	-52.597969
4718.750000	-55.519581
4734.375000	-57.708172
4750.000000	-59.215950
4765.625000	-60.180885
4781.250000	-60.697784
4796.875000	-60.783890
4812.500000	-60.441341
4828.125000	-59.647675
4843.750000	-58.327614
4859.375000	-56.418156
4875.000000	-54.174660
4890.625000	-52.681572
4906.250000	-53.108067
4921.875000	-55.214363
4937.500000	-57.663830
4953.125000	-59.639736
4968.750000	-61.060692
4984.375000	-61.999607
5000.000000	-62.507446
5015.625000	-62.645847
5031.250000	-62.406990
5046.875000	-61.802643
5062.500000	-60.784325
5078.125000	-59.339088
5093.750000	-57.580475
5109.375000	-56.059681
5125.000000	-55.632782
5140.625000	-56.636044
5156.250000	-58.479694
5171.875000	-60.324554
5187.500000	-61.799938
5203.125000	-62.852589
5218.750000	-63.505165
5234.375000	-63.787449
5250.000000	-63.742046
5265.625000	-63.351776
5281.250000	-62.592884
5296.875000	-61.503407
5312.500000	-60.124905
5328.125000	-58.671448
5343.750000	-57.682701
5359.375000	-57.695858
