Frequency (Hz)	Level (dB)
15.625000	-76.588104
31.250000	-73.714981
46.875000	-70.960419
62.500000	-68.473877
78.125000	-65.044395
93.750000	-64.377678
109.375000	-62.743076
125.000000	-62.141041
140.625000	-70.310760
156.250000	-72.682739
171.875000	-70.945610
187.500000	-66.915604
203.125000	-62.075432
218.750000	-60.474106
234.375000	-62.776596
250.000000	-67.544876
265.625000	-72.084030
281.250000	-73.646622
296.875000	-75.104736
312.500000	-75.577209
328.125000	-75.409912
343.750000	-75.245071
359.375000	-74.274284
375.000000	-73.120499
390.625000	-71.509697
406.250000	-69.832962
421.875000	-67.931717
437.500000	-66.834183
453.125000	-67.546791
468.750000	-69.658798
484.375000	-72.138519
500.000000	-73.903778
515.625000	-75.270233
531.250000	-75.690544
546.875000	-75.590569
562.500000	-75.684135
578.125000	-75.145767
593.750000	-73.965698
609.375000	-71.910988
625.000000	-68.965675
640.625000	-65.402672
656.250000	-64.419388
671.875000	-66.907524
687.500000	-70.028610
703.125000	-71.824493
718.750000	-72.700905
734.375000	-73.592361
750.000000	-74.216583
765.625000	-74.803719
781.250000	-74.695641
796.875000	-74.060593
812.500000	-72.780167
828.125000	-71.157608
843.750000	-69.801949
859.375000	-69.283920
875.000000	-69.136795
890.625000	-69.069649
906.250000	-69.873665
921.875000	-71.987152
937.500000	-73.473427
953.125000	-74.042572
968.750000	-74.163010
984.375000	-74.061371
1000.000000	-73.623024
1015.625000	-73.636375
1031.250000	-73.471123
1046.875000	-72.747025
1062.500000	-71.719322
1078.125000	-71.283112
1093.750000	-70.032753
1109.375000	-67.865395
1125.000000	-64.610558
1140.625000	-62.387714
1156.250000	-62.701363
1171.875000	-65.053596
1187.500000	-67.388672
1203.125000	-69.016281
1218.750000	-69.838173
1234.375000	-70.056229
1250.000000	-70.000298
1265.625000	-69.216599
1281.250000	-67.729706
1296.875000	-65.641571
1312.500000	-62.686100
1328.125000	-59.147579
1343.750000	-57.863537
1359.375000	-59.697399
1375.000000	-62.703934
1390.625000	-65.234009
1406.250000	-67.019661
1421.875000	-67.909531
1437.500000	-68.259415
1453.125000	-68.296776
1468.750000	-67.975304
1484.375000	-67.399567
1500.000000	-66.105568
1515.625000	-63.798180
1531.250000	-61.164284
1546.875000	-59.167938
1562.500000	-58.986702
1578.125000	-60.604630
1593.750000	-62.983170
1609.375000	-64.771011
1625.000000	-66.026222
1640.625000	-66.814423
1656.250000	-67.130241
1671.875000	-67.222664
1687.500000	-66.593254
1703.125000	-65.875854
1718.750000	-64.988892
1734.375000	-64.066010
1750.000000	-63.038532
1765.625000	-62.499653
1781.250000	-62.202854
1796.875000	-62.687073
1812.500000	-63.475792
1828.125000	-64.734856
1843.750000	-65.817894
1859.375000	-66.311249
1875.000000	-66.553467
1890.625000	-67.115417
1906.250000	-67.331596
1921.875000	-67.245094
1937.500000	-66.773537
1953.125000	-66.184311
1968.750000	-65.922089
1984.375000	-65.113014
2000.000000	-64.071808
2015.625000	-63.309246
2031.250000	-63.078873
2046.875000	-62.994419
2062.500000	-63.385773
2078.125000	-64.129074
2093.750000	-64.963814
2109.375000	-65.913742
2125.000000	-66.520676
2140.625000	-66.513039
2156.250000	-66.773277
2171.875000	-66.779549
2187.500000	-66.363403
2203.125000	-65.764046
2218.750000	-64.843887
2234.375000	-63.227997
2250.000000	-61.784813
2265.625000	-60.926907
2281.250000	-61.011902
2296.875000	-62.070820
2312.500000	-63.534698
2328.125000	-65.428581
2343.750000	-66.360840
2359.375000	-67.013412
2375.000000	-67.326454
2390.625000	-67.206963
2406.250000	-67.071831
2421.875000	-66.292793
2437.500000	-65.081238
2453.125000	-63.288425
2468.750000	-60.983406
2484.375000	-59.213749
2500.000000	-59.104809
2515.625000	-60.660896
2531.250000	-63.002617
2546.875000	-65.115005
2562.500000	-66.267830
2578.125000	-67.186150
2593.750000	-67.898911
2609.375000	-67.718277
2625.000000	-67.540451
2640.625000	-66.691185
2656.250000	-65.333206
2671.875000	-63.002899
2687.500000	-60.424881
2703.125000	-58.032375
2718.750000	-57.515186
2734.375000	-59.855278
2750.000000	-62.840687
2765.625000	-64.908318
2781.250000	-66.502159
2796.875000	-67.523827
2812.500000	-67.660179
2828.125000	-67.577538
2843.750000	-67.447304
2859.375000	-66.881516
2875.000000	-65.314186
2890.625000	-63.334976
2906.250000	-60.210754
2921.875000	-57.199635
2937.500000	-56.738338
2953.125000	-59.170517
2968.750000	-62.320477
2984.375000	-64.565460
3000.000000	-66.152351
3015.625000	-67.336952
3031.250000	-67.850716
3046.875000	-67.609604
3062.500000	-67.448288
3078.125000	-66.383568
3093.750000	-65.139076
3109.375000	-63.364674
3125.000000	-60.408394
3140.625000	-57.016075
3156.250000	-55.731796
3171.875000	-57.428589
3187.500000	-60.589878
3203.125000	-63.167980
3218.750000	-64.840057
3234.375000	-65.884415
3250.000000	-66.759071
3265.625000	-67.029930
3281.250000	-66.313835
3296.875000	-65.902161
3312.500000	-64.878365
3328.125000	-63.009613
3343.750000	-60.419273
3359.375000	-57.036716
3375.000000	-55.541157
3390.625000	-56.470921
3406.250000	-59.193016
3421.875000	-61.940979
3437.500000	-63.769497
3453.125000	-65.051025
3468.750000	-65.606880
3484.375000	-65.930855
3500.000000	-65.605247
3515.625000	-65.116852
3531.250000	-64.100410
3546.875000	-62.379688
3562.500000	-60.331394
3578.125000	-57.492302
3593.750000	-55.401501
3609.375000	-55.699387
3625.000000	-57.858780
3640.625000	-60.552097
3656.250000	-62.620968
3671.875000	-64.300972
3687.500000	-65.115059
3703.125000	-65.397911
3718.750000	-65.442345
3734.375000	-65.255325
3750.000000	-64.492523
3765.625000	-63.130779
3781.250000	-61.228035
3796.875000	-58.940742
3812.500000	-56.601749
3828.125000	-55.668983
3843.750000	-57.309402
3859.375000	-60.318321
3875.000000	-62.908684
3890.625000	-64.911385
3906.250000	-66.040398
3921.875000	-66.890610
3937.500000	-67.357407
3953.125000	-67.498970
3968.750000	-67.028526
3984.375000	-66.078957
4000.000000	-64.625160
4015.625000	-62.231358
4031.250000	-59.530941
4046.875000	-58.042583
4062.500000	-59.116802
4078.125000	-61.997742
4093.750000	-64.757629
4109.375000	-67.234467
4125.000000	-68.673149
4140.625000	-69.749695
4156.250000	-70.444794
4171.875000	-70.460297
4187.500000	-70.178078
4203.125000	-69.702072
4218.750000	-68.391342
4234.375000	-66.048065
4250.000000	-63.196983
4265.625000	-60.806942
4281.250000	-61.031429
4296.875000	-64.007240
4312.500000	-67.141815
4328.125000	-69.657555
4343.750000	-71.529350
4359.375000	-72.313797
4375.000000	-72.834198
4390.625000	-73.234184
4406.250000	-73.143051
4421.875000	-72.524925
4437.500000	-71.191208
4453.125000	-69.129379
4468.750000	-66.594765
4484.375000	-64.298584
4500.000000	-64.186165
4515.625000	-66.297813
4531.250000	-69.703362
4546.875000	-72.073616
4562.500000	-73.463959
4578.125000	-74.804665
4593.750000	-75.651421
4609.375000	-75.822594
4625.000000	-75.626884
4640.625000	-75.142639
4656.250000	-74.062073
4671.875000	-72.326035
4687.500000	-69.698296
4703.125000	-67.314072
4718.750000	-66.882767
4734.375000	-68.877815
4750.000000	-71.850273
4765.625000	-74.251366
4781.250000	-76.146194
4796.875000	-77.258629
4812.500000	-77.994125
4828.125000	-78.030693
4843.750000	-77.754723
4859.375000	-77.377022
4875.000000	-76.495659
4890.625000	-75.092735
4906.250000	-73.250626
4921.875000	-71.045334
4937.500000	-70.094162
4953.125000	-71.563309
4968.750000	-73.733368
4984.375000	-76.089813
5000.000000	-77.862663
5015.625000	-79.188507
5031.250000	-79.860405
5046.875000	-80.360588
5062.500000	-80.215622
5078.125000	-79.745796
