Frequency (Hz)	Level (dB)
15.625000	-72.478691
31.250000	-66.472527
46.875000	-62.659683
62.500000	-60.335758
78.125000	-58.462109
93.750000	-57.448013
109.375000	-56.690411
125.000000	-55.603268
140.625000	-55.123619
156.250000	-53.315510
171.875000	-50.488232
187.500000	-45.846851
203.125000	-40.627144
218.750000	-39.473892
234.375000	-43.008888
250.000000	-47.327904
265.625000	-50.155758
281.250000	-51.676697
296.875000	-52.544899
312.500000	-52.991528
328.125000	-52.799942
343.750000	-52.007393
359.375000	-51.061584
375.000000	-49.627312
390.625000	-47.498451
406.250000	-45.297756
421.875000	-43.196224
437.500000	-42.061584
453.125000	-42.644089
468.750000	-44.556820
484.375000	-46.578568
500.000000	-48.455013
515.625000	-49.539600
531.250000	-50.260311
546.875000	-50.235630
562.500000	-49.883335
578.125000	-49.083969
593.750000	-47.841377
609.375000	-45.523788
625.000000	-42.250614
640.625000	-38.808697
656.250000	-37.928509
671.875000	-40.349037
687.500000	-43.500858
703.125000	-45.326698
718.750000	-46.069935
734.375000	-46.557999
750.000000	-46.951187
765.625000	-47.267807
781.250000	-47.181339
796.875000	-46.276737
812.500000	-44.832012
828.125000	-43.172695
843.750000	-41.726173
859.375000	-41.379284
875.000000	-41.217800
890.625000	-40.952206
906.250000	-42.039444
921.875000	-43.835316
937.500000	-45.359592
953.125000	-46.016380
968.750000	-46.066891
984.375000	-45.686028
1000.000000	-45.230244
1015.625000	-44.749100
1031.250000	-44.329681
1046.875000	-43.806442
1062.500000	-43.057632
1078.125000	-42.113937
1093.750000	-40.739731
1109.375000	-38.577557
1125.000000	-35.297314
1140.625000	-33.072403
1156.250000	-33.529774
1171.875000	-35.865486
1187.500000	-38.349644
1203.125000	-39.745075
1218.750000	-40.476944
1234.375000	-40.713913
1250.000000	-40.506424
1265.625000	-39.383862
1281.250000	-37.764309
1296.875000	-35.508450
1312.500000	-32.386398
1328.125000	-29.200708
1343.750000	-27.936514
1359.375000	-30.032137
1375.000000	-33.260117
1390.625000	-35.561462
1406.250000	-37.104443
1421.875000	-38.091900
1437.500000	-38.328365
1453.125000	-37.973068
1468.750000	-37.506390
1484.375000	-36.607571
1500.000000	-35.316727
1515.625000	-32.964314
1531.250000	-30.584478
1546.875000	-28.887743
1562.500000	-28.674332
1578.125000	-29.905243
1593.750000	-32.287926
1609.375000	-34.004383
1625.000000	-35.204590
1640.625000	-35.884037
1656.250000	-36.287811
1671.875000	-36.250401
1687.500000	-35.729866
1703.125000	-35.106865
1718.750000	-34.153492
1734.375000	-33.133450
1750.000000	-32.174053
1765.625000	-31.592752
1781.250000	-31.356100
1796.875000	-31.601065
1812.500000	-32.717297
1828.125000	-33.580620
1843.750000	-34.365627
1859.375000	-34.945610
1875.000000	-35.440914
1890.625000	-35.870670
1906.250000	-35.547707
1921.875000	-35.615536
1937.500000	-35.326561
1953.125000	-34.708698
1968.750000	-33.888641
1984.375000	-32.997540
2000.000000	-32.117889
2015.625000	-31.533369
2031.250000	-31.288254
2046.875000	-31.293369
2062.500000	-31.616711
2078.125000	-32.376282
2093.750000	-33.180050
2109.375000	-33.762817
2125.000000	-34.425823
2140.625000	-34.720417
2156.250000	-34.894836
2171.875000	-34.893078
2187.500000	-34.439114
2203.125000	-33.451942
2218.750000	-32.415157
2234.375000	-30.940887
2250.000000	-29.481789
2265.625000	-28.740562
2281.250000	-28.924660
2296.875000	-30.088446
2312.500000	-31.640427
2328.125000	-33.078056
2343.750000	-34.095680
2359.375000	-34.444263
2375.000000	-34.817020
2390.625000	-34.924591
2406.250000	-34.435478
2421.875000	-33.736904
2437.500000	-32.158215
2453.125000	-30.109928
2468.750000	-28.127659
2484.375000	-26.667635
2500.000000	-26.853239
2515.625000	-28.527901
2531.250000	-30.566456
2546.875000	-32.536961
2562.500000	-33.830009
2578.125000	-34.564564
2593.750000	-34.875889
2609.375000	-34.816593
2625.000000	-34.195843
2640.625000	-33.221420
2656.250000	-31.980675
2671.875000	-29.884548
2687.500000	-26.940060
2703.125000	-24.777790
2718.750000	-25.162302
2734.375000	-27.371807
2750.000000	-30.215477
2765.625000	-32.234425
2781.250000	-33.560284
2796.875000	-34.584114
2812.500000	-34.906609
2828.125000	-34.684071
2843.750000	-34.163151
2859.375000	-33.270359
2875.000000	-31.941032
2890.625000	-29.420912
2906.250000	-26.256636
2921.875000	-23.632824
2937.500000	-23.512175
2953.125000	-25.969929
2968.750000	-29.233515
2984.375000	-31.399944
3000.000000	-32.768433
3015.625000	-33.865559
3031.250000	-34.327682
3046.875000	-34.301949
3062.500000	-33.812202
3078.125000	-32.949738
3093.750000	-31.497570
3109.375000	-29.174202
3125.000000	-25.979553
3140.625000	-22.700645
3156.250000	-22.236355
3171.875000	-24.571547
3187.500000	-27.637043
3203.125000	-30.212736
3218.750000	-31.575439
3234.375000	-32.499969
3250.000000	-33.068283
3265.625000	-33.059597
3281.250000	-32.659252
3296.875000	-32.014973
3312.500000	-30.491379
3328.125000	-28.431299
3343.750000	-25.569925
3359.375000	-22.867971
3375.000000	-21.643356
