Frequency (Hz)	Level (dB)
15.625000	-79.689346
31.250000	-76.635246
46.875000	-74.068100
62.500000	-70.543907
78.125000	-67.833206
93.750000	-67.126175
109.375000	-66.265541
125.000000	-65.839523
140.625000	-66.400520
156.250000	-66.244286
171.875000	-65.899162
187.500000	-65.335121
203.125000	-64.635406
218.750000	-63.698574
234.375000	-62.604046
250.000000	-61.196640
265.625000	-59.385826
281.250000	-57.116440
296.875000	-54.146206
312.500000	-50.496841
328.125000	-47.513130
343.750000	-47.267014
359.375000	-49.696613
375.000000	-52.791027
390.625000	-55.254627
406.250000	-57.077995
421.875000	-58.390224
437.500000	-59.292252
453.125000	-59.912617
468.750000	-60.287785
484.375000	-60.456799
500.000000	-60.415291
515.625000	-60.205723
531.250000	-59.842377
546.875000	-59.397007
562.500000	-58.835682
578.125000	-58.103298
593.750000	-57.164379
609.375000	-55.928383
625.000000	-54.256908
640.625000	-51.996902
656.250000	-49.043053
671.875000	-46.030186
687.500000	-44.859348
703.125000	-46.370583
718.750000	-49.099884
734.375000	-51.264416
750.000000	-52.640984
765.625000	-53.669422
781.250000	-54.625854
796.875000	-55.464890
812.500000	-56.086086
828.125000	-56.455982
843.750000	-56.605957
859.375000	-56.517574
875.000000	-56.185814
890.625000	-55.623268
906.250000	-54.809319
921.875000	-53.703827
937.500000	-52.308880
953.125000	-50.701027
968.750000	-49.173477
984.375000	-48.105492
1000.000000	-47.450512
1015.625000	-46.741821
1031.250000	-46.016674
1046.875000	-45.996929
1062.500000	-47.012394
1078.125000	-48.599060
1093.750000	-50.147949
1109.375000	-51.398914
1125.000000	-52.330246
1140.625000	-52.965874
1156.250000	-53.343342
1171.875000	-53.494766
1187.500000	-53.448296
1203.125000	-53.271450
1218.750000	-53.012867
1234.375000	-52.698582
1250.000000	-52.300770
1265.625000	-51.792023
1281.250000	-51.206356
1296.875000	-50.644772
1312.500000	-50.140255
1328.125000	-49.606499
1343.750000	-48.870308
1359.375000	-47.806961
1375.000000	-46.458553
1390.625000	-45.134048
1406.250000	-44.421398
1421.875000	-44.719078
1437.500000	-45.720634
1453.125000	-46.674099
1468.750000	-47.228283
1484.375000	-47.661179
1500.000000	-48.156857
1515.625000	-48.538357
1531.250000	-48.641670
1546.875000	-48.519657
1562.500000	-48.364803
1578.125000	-48.283638
1593.750000	-48.221855
1609.375000	-48.060230
1625.000000	-47.715931
1640.625000	-47.161469
1656.250000	-46.368229
1671.875000	-45.302521
1687.500000	-43.914810
1703.125000	-42.122513
1718.750000	-39.826374
1734.375000	-37.019848
1750.000000	-34.383064
1765.625000	-33.419727
1781.250000	-34.708469
1796.875000	-37.127125
1812.500000	-39.352402
1828.125000	-41.046200
1843.750000	-42.285915
