Frequency (Hz)	Level (dB)
15.625000	-70.178505
31.250000	-64.583992
46.875000	-62.470959
62.500000	-62.156502
78.125000	-62.659359
93.750000	-63.552677
109.375000	-63.683804
125.000000	-64.240738
140.625000	-65.502815
156.250000	-66.174278
171.875000	-66.694191
187.500000	-66.988853
203.125000	-66.979401
218.750000	-66.423897
234.375000	-65.637947
250.000000	-64.886719
265.625000	-63.742054
281.250000	-61.649155
296.875000	-59.000458
312.500000	-55.727520
328.125000	-53.319897
343.750000	-54.498131
359.375000	-58.120399
375.000000	-61.463696
390.625000	-64.396866
406.250000	-66.318016
421.875000	-67.621132
437.500000	-68.629684
453.125000	-69.493752
468.750000	-69.943222
484.375000	-70.069908
500.000000	-70.096703
515.625000	-69.986481
531.250000	-69.922180
546.875000	-69.730209
562.500000	-69.405968
578.125000	-68.850235
593.750000	-67.519325
609.375000	-65.878510
625.000000	-63.981838
640.625000	-61.377209
656.250000	-59.021301
671.875000	-58.600636
687.500000	-60.077362
703.125000	-62.073788
718.750000	-63.966335
734.375000	-65.948395
750.000000	-67.455894
765.625000	-68.822563
781.250000	-69.731720
796.875000	-70.806824
812.500000	-71.188263
828.125000	-71.334152
843.750000	-71.202362
859.375000	-70.973106
875.000000	-70.402901
890.625000	-69.834488
906.250000	-69.059357
921.875000	-68.055855
937.500000	-67.313499
953.125000	-66.029167
968.750000	-64.024147
984.375000	-61.400246
1000.000000	-60.062531
1015.625000	-60.552601
1031.250000	-62.458591
1046.875000	-65.085304
1062.500000	-67.163246
1078.125000	-68.497086
1093.750000	-69.372047
1109.375000	-70.204956
1125.000000	-70.572639
1140.625000	-70.786507
1156.250000	-71.141838
1171.875000	-71.296532
1187.500000	-71.107140
1203.125000	-70.648918
1218.750000	-70.079262
1234.375000	-69.423119
1250.000000	-68.915855
1265.625000	-68.680855
1281.250000	-68.519669
1296.875000	-67.978050
1312.500000	-67.125687
1328.125000	-66.210052
1343.750000	-64.955444
1359.375000	-64.572838
1375.000000	-64.775589
1390.625000	-65.646660
1406.250000	-66.437958
1421.875000	-66.800636
1437.500000	-67.335068
1453.125000	-67.794434
1468.750000	-67.312851
1484.375000	-67.030907
1500.000000	-67.325340
1515.625000	-67.438499
1531.250000	-67.629509
1546.875000	-68.071968
1562.500000	-68.183868
1578.125000	-67.993225
1593.750000	-67.730957
1609.375000	-67.038254
1625.000000	-66.280365
1640.625000	-65.135384
1656.250000	-63.513062
1671.875000	-61.503632
1687.500000	-58.860992
1703.125000	-55.904110
1718.750000	-54.273045
1734.375000	-55.063686
1750.000000	-57.649364
1765.625000	-59.993435
1781.250000	-61.894032
1796.875000	-63.337669
1812.500000	-64.462486
1828.125000	-65.260635
1843.750000	-65.677002
1859.375000	-65.881989
1875.000000	-65.935234
1890.625000	-65.556732
1906.250000	-65.405708
1921.875000	-65.182228
1937.500000	-64.230911
1953.125000	-63.403416
1968.750000	-62.283340
1984.375000	-60.456669
2000.000000	-58.481148
2015.625000	-56.655170
2031.250000	-54.889366
2046.875000	-54.603218
2062.500000	-55.987473
2078.125000	-57.976925
2093.750000	-59.902470
2109.375000	-61.561863
2125.000000	-62.694008
2140.625000	-63.545891
2156.250000	-64.208023
2171.875000	-64.659851
2187.500000	-64.909233
2203.125000	-65.065727
2218.750000	-65.061958
2234.375000	-64.969246
2250.000000	-64.670631
2265.625000	-64.069885
2281.250000	-63.204224
2296.875000	-62.420353
2312.500000	-61.519260
2328.125000	-60.485443
2343.750000	-59.602066
2359.375000	-59.127480
2375.000000	-59.142151
2390.625000	-59.573719
2406.250000	-60.397034
2421.875000	-61.539013
2437.500000	-62.468582
2453.125000	-63.084927
2468.750000	-63.989010
2484.375000	-64.696480
2500.000000	-65.128662
2515.625000	-65.472603
2531.250000	-65.821785
2546.875000	-66.027412
2562.500000	-66.248718
2578.125000	-66.349266
2593.750000	-66.016327
2609.375000	-65.865799
2625.000000	-65.802376
2640.625000	-65.393501
2656.250000	-65.000061
2671.875000	-64.365005
2687.500000	-63.801403
2703.125000	-63.051338
2718.750000	-62.314373
2734.375000	-62.268597
2750.000000	-62.480526
2765.625000	-62.661789
2781.250000	-63.330227
2796.875000	-64.246719
2812.500000	-64.614685
2828.125000	-65.560936
2843.750000	-66.517204
2859.375000	-66.921867
2875.000000	-67.372620
2890.625000	-67.785728
2906.250000	-67.870140
2921.875000	-67.898918
2937.500000	-68.074234
2953.125000	-68.216179
2968.750000	-68.068748
2984.375000	-67.896088
3000.000000	-67.312309
3015.625000	-66.706665
3031.250000	-65.747192
3046.875000	-64.964653
3062.500000	-64.155342
3078.125000	-63.397861
3093.750000	-62.650383
3109.375000	-62.273956
3125.000000	-62.459023
3140.625000	-63.403584
3156.250000	-64.049583
3171.875000	-64.922043
3187.500000	-65.821671
3203.125000	-66.858810
3218.750000	-67.771713
3234.375000	-68.367088
3250.000000	-68.604324
3265.625000	-68.809235
3281.250000	-68.928734
3296.875000	-68.883522
3312.500000	-68.548080
3328.125000	-68.273720
3343.750000	-67.808762
3359.375000	-67.101158
3375.000000	-65.885300
3390.625000	-64.849449
3406.250000	-63.492676
3421.875000	-61.901516
3437.500000	-60.872509
3453.125000	-60.557941
3468.750000	-61.085152
3484.375000	-62.370331
3500.000000	-63.857616
3515.625000	-65.231216
3531.250000	-66.426598
3546.875000	-67.279427
3562.500000	-68.077766
3578.125000	-68.757172
3593.750000	-69.042648
3609.375000	-69.312630
3625.000000	-69.317078
3640.625000	-69.175819
3656.250000	-68.884842
3671.875000	-68.195236
3687.500000	-67.450676
3703.125000	-66.585045
3718.750000	-65.517189
3734.375000	-63.935017
3750.000000	-62.299099
3765.625000	-60.455650
3781.250000	-59.287819
3796.875000	-59.319389
3812.500000	-60.615021
3828.125000	-62.511169
3843.750000	-63.862705
3859.375000	-65.445961
3875.000000	-66.812050
3890.625000	-67.418427
3906.250000	-68.082329
3921.875000	-68.914650
3937.500000	-69.273895
3953.125000	-69.182663
3968.750000	-69.017464
3984.375000	-68.990356
4000.000000	-68.775291
4015.625000	-67.935646
4031.250000	-67.091461
4046.875000	-66.036575
4062.500000	-64.722519
4078.125000	-63.449112
4093.750000	-61.824490
4109.375000	-60.126717
4125.000000	-59.284607
4140.625000	-59.723152
4156.250000	-61.393627
4171.875000	-62.993137
4187.500000	-64.486511
4203.125000	-65.950409
4218.750000	-67.290710
4234.375000	-68.308128
4250.000000	-68.728706
4265.625000	-69.256508
4281.250000	-69.617455
4296.875000	-69.997261
4312.500000	-70.087418
4328.125000	-69.883766
4343.750000	-69.674492
4359.375000	-69.357880
4375.000000	-68.552681
4390.625000	-67.801964
4406.250000	-66.528046
4421.875000	-65.000130
4437.500000	-63.457745
4453.125000	-62.152607
4468.750000	-61.502991
4484.375000	-61.970776
4500.000000	-63.378609
4515.625000	-65.322380
4531.250000	-67.062576
4546.875000	-68.444473
4562.500000	-69.717262
4578.125000	-70.973511
4593.750000	-71.902832
4609.375000	-72.360451
4625.000000	-72.927711
4640.625000	-73.176743
4656.250000	-73.132446
4671.875000	-73.147369
4687.500000	-72.991364
4703.125000	-72.640762
4718.750000	-72.142258
4734.375000	-71.180763
4750.000000	-69.911530
4765.625000	-68.483643
4781.250000	-66.768044
4796.875000	-64.858086
4812.500000	-64.096054
4828.125000	-64.772568
4843.750000	-66.357056
4859.375000	-68.643677
4875.000000	-70.830406
4890.625000	-72.309288
4906.250000	-73.657013
4921.875000	-74.610512
4937.500000	-75.482513
4953.125000	-76.342354
4968.750000	-76.679405
4984.375000	-76.601776
5000.000000	-76.729233
5015.625000	-76.762245
5031.250000	-76.714851
5046.875000	-76.288712
5062.500000	-75.480659
5078.125000	-74.358902
5093.750000	-73.265732
5109.375000	-71.621399
5125.000000	-69.712387
5140.625000	-67.835938
5156.250000	-67.091507
5171.875000	-68.326508
5187.500000	-70.685501
5203.125000	-72.893036
5218.750000	-74.530960
5234.375000	-76.069893
5250.000000	-77.375290
5265.625000	-78.608063
5281.250000	-79.316017
5296.875000	-79.882256
5312.500000	-80.106621
5328.125000	-80.142189
5343.750000	-79.935112
5359.375000	-79.954887
5375.000000	-79.682304
5390.625000	-79.256348
5406.250000	-78.669113
5421.875000	-77.463486
5437.500000	-75.544441
5453.125000	-73.930031
5468.750000	-71.967400
5484.375000	-70.143501
5500.000000	-69.766495
5515.625000	-71.399429
5531.250000	-73.989357
5546.875000	-76.365891
5562.500000	-78.250084
5578.125000	-79.583794
5593.750000	-80.562561
5609.375000	-81.409843
5625.000000	-82.245728
5640.625000	-82.673363
5656.250000	-82.965950
5671.875000	-82.926765
5687.500000	-82.736183
5703.125000	-82.447479
5718.750000	-82.260941
