Frequency (Hz)	Level (dB)
15.625000	-78.391975
31.250000	-74.826126
46.875000	-72.418716
62.500000	-71.158463
78.125000	-71.264946
93.750000	-72.357574
109.375000	-71.248627
125.000000	-71.069397
140.625000	-76.539970
156.250000	-77.735779
171.875000	-78.009163
187.500000	-78.373085
203.125000	-78.598808
218.750000	-78.013206
234.375000	-76.415428
250.000000	-77.043579
265.625000	-76.508995
281.250000	-74.542252
296.875000	-71.881622
312.500000	-68.644669
328.125000	-66.629265
343.750000	-67.749481
359.375000	-71.176979
375.000000	-74.699852
390.625000	-77.477753
406.250000	-79.331238
421.875000	-80.376572
437.500000	-81.289177
453.125000	-81.699287
468.750000	-81.994789
484.375000	-82.184395
500.000000	-82.210846
515.625000	-82.448608
531.250000	-82.337837
546.875000	-82.029938
562.500000	-81.865738
578.125000	-81.685013
593.750000	-81.099724
609.375000	-79.788078
625.000000	-77.960915
640.625000	-75.808060
656.250000	-73.703003
671.875000	-72.913101
687.500000	-74.236580
703.125000	-75.856789
718.750000	-77.471619
734.375000	-79.358002
750.000000	-80.910553
765.625000	-81.921173
781.250000	-82.585495
796.875000	-83.047295
812.500000	-83.482986
828.125000	-83.857582
843.750000	-83.845085
859.375000	-83.706123
875.000000	-83.288605
890.625000	-82.803703
906.250000	-82.004539
921.875000	-81.371124
937.500000	-80.756996
953.125000	-79.862869
968.750000	-78.363358
984.375000	-76.177956
1000.000000	-74.644691
1015.625000	-74.792725
1031.250000	-76.653183
1046.875000	-78.967117
1062.500000	-80.687485
1078.125000	-82.091850
1093.750000	-83.058281
1109.375000	-83.728836
1125.000000	-84.054642
1140.625000	-83.878281
1156.250000	-83.960968
1171.875000	-84.247650
1187.500000	-84.031998
1203.125000	-83.691772
1218.750000	-83.332863
1234.375000	-82.959183
1250.000000	-82.845085
1265.625000	-82.641769
1281.250000	-82.340675
1296.875000	-81.827690
1312.500000	-81.252068
1328.125000	-80.263985
1343.750000	-79.217621
1359.375000	-78.414474
1375.000000	-78.646423
1390.625000	-79.606026
1406.250000	-80.351311
1421.875000	-80.848038
1437.500000	-81.026138
1453.125000	-81.488258
1468.750000	-81.459496
1484.375000	-81.294716
1500.000000	-81.344872
1515.625000	-81.544861
1531.250000	-81.860741
1546.875000	-82.060608
1562.500000	-82.242989
1578.125000	-82.034325
1593.750000	-82.055984
1609.375000	-81.480270
1625.000000	-80.440231
1640.625000	-79.381363
1656.250000	-78.101456
