Frequency (Hz)	Level (dB)
15.625000	-79.586395
31.250000	-76.692734
46.875000	-73.147873
62.500000	-68.978760
78.125000	-67.573433
93.750000	-67.140862
109.375000	-66.317322
125.000000	-65.954666
140.625000	-66.491844
156.250000	-66.310204
171.875000	-65.941956
187.500000	-65.372643
203.125000	-64.710205
218.750000	-63.761997
234.375000	-62.642281
250.000000	-61.233856
265.625000	-59.445572
281.250000	-57.173870
296.875000	-54.193207
312.500000	-50.546253
328.125000	-47.562401
343.750000	-47.308365
359.375000	-49.739208
375.000000	-52.841690
390.625000	-55.304173
406.250000	-57.126560
421.875000	-58.448151
437.500000	-59.344097
453.125000	-59.962959
468.750000	-60.335701
484.375000	-60.501766
500.000000	-60.459526
515.625000	-60.253647
531.250000	-59.898216
546.875000	-59.449345
562.500000	-58.891735
578.125000	-58.162354
593.750000	-57.219769
609.375000	-55.980690
625.000000	-54.305988
640.625000	-52.047497
656.250000	-49.092884
671.875000	-46.080250
687.500000	-44.910763
703.125000	-46.420601
718.750000	-49.149937
734.375000	-51.318527
750.000000	-52.697063
765.625000	-53.721500
781.250000	-54.676022
796.875000	-55.517513
812.500000	-56.134399
828.125000	-56.509583
843.750000	-56.661324
859.375000	-56.568768
875.000000	-56.237617
890.625000	-55.675877
906.250000	-54.855572
921.875000	-53.753910
937.500000	-52.360497
953.125000	-50.751629
968.750000	-49.223778
984.375000	-48.156651
1000.000000	-47.501225
1015.625000	-46.791885
1031.250000	-46.068436
1046.875000	-46.048466
1062.500000	-47.062943
1078.125000	-48.649807
1093.750000	-50.198532
1109.375000	-51.451878
1125.000000	-52.383606
1140.625000	-53.016907
1156.250000	-53.393467
1171.875000	-53.546223
1187.500000	-53.500046
1203.125000	-53.323788
1218.750000	-53.062660
1234.375000	-52.749355
1250.000000	-52.353195
1265.625000	-51.844906
1281.250000	-51.258301
1296.875000	-50.697292
1312.500000	-50.192780
1328.125000	-49.656841
1343.750000	-48.921494
1359.375000	-47.858593
1375.000000	-46.509247
1390.625000	-45.185951
1406.250000	-44.472851
1421.875000	-44.769939
1437.500000	-45.771553
1453.125000	-46.724358
1468.750000	-47.279472
1484.375000	-47.712566
1500.000000	-48.208076
1515.625000	-48.589497
1531.250000	-48.694660
1546.875000	-48.572201
1562.500000	-48.416134
1578.125000	-48.335041
1593.750000	-48.272739
1609.375000	-48.111710
1625.000000	-47.767471
1640.625000	-47.213898
1656.250000	-46.419922
1671.875000	-45.353619
1687.500000	-43.965881
1703.125000	-42.173595
1718.750000	-39.877243
1734.375000	-37.071274
1750.000000	-34.435062
1765.625000	-33.471054
1781.250000	-34.759811
1796.875000	-37.178600
1812.500000	-39.404068
1828.125000	-41.097836
1843.750000	-42.337254
1859.375000	-43.224304
1875.000000	-43.825558
1890.625000	-44.188900
1906.250000	-44.339787
1921.875000	-44.290295
1937.500000	-44.050419
1953.125000	-43.621265
1968.750000	-42.993576
1984.375000	-42.158703
2000.000000	-41.096619
2015.625000	-39.765175
2031.250000	-38.106133
2046.875000	-36.097725
2062.500000	-33.938076
2078.125000	-32.320038
2093.750000	-32.084702
2109.375000	-33.301086
2125.000000	-35.181755
2140.625000	-36.985676
2156.250000	-38.468170
2171.875000	-39.625820
2187.500000	-40.508263
2203.125000	-41.157795
2218.750000	-41.605648
2234.375000	-41.874073
2250.000000	-41.977627
2265.625000	-41.924675
2281.250000	-41.721947
2296.875000	-41.369007
2312.500000	-40.863525
2328.125000	-40.198273
2343.750000	-39.371895
2359.375000	-38.399307
2375.000000	-37.323059
2390.625000	-36.240330
2406.250000	-35.344799
2421.875000	-34.888100
2437.500000	-35.028614
2453.125000	-35.711670
2468.750000	-36.713486
2484.375000	-37.802166
2500.000000	-38.835018
2515.625000	-39.748409
2531.250000	-40.518631
2546.875000	-41.144627
2562.500000	-41.633450
2578.125000	-41.999733
2593.750000	-42.250786
2609.375000	-42.395836
2625.000000	-42.440430
2640.625000	-42.387623
2656.250000	-42.245148
2671.875000	-42.022507
2687.500000	-41.729794
2703.125000	-41.360386
2718.750000	-40.880375
2734.375000	-40.251728
2750.000000	-39.484299
2765.625000	-38.673210
2781.250000	-37.973263
2796.875000	-37.545509
2812.500000	-37.498627
2828.125000	-37.845070
2843.750000	-38.492577
2859.375000	-39.294083
2875.000000	-40.119156
2890.625000	-40.883698
2906.250000	-41.549591
2921.875000	-42.100693
2937.500000	-42.537186
2953.125000	-42.864525
2968.750000	-43.088718
2984.375000	-43.207806
3000.000000	-43.219849
3015.625000	-43.125946
3031.250000	-42.923618
3046.875000	-42.612511
3062.500000	-42.184853
3078.125000	-41.641930
3093.750000	-40.982662
3109.375000	-40.216862
3125.000000	-39.376999
3140.625000	-38.531292
3156.250000	-37.800564
3171.875000	-37.343060
3187.500000	-37.290012
3203.125000	-37.663792
3218.750000	-38.363747
3234.375000	-39.227455
3250.000000	-40.112797
3265.625000	-40.932381
3281.250000	-41.646225
3296.875000	-42.230412
3312.500000	-42.676975
3328.125000	-42.985008
3343.750000	-43.154846
3359.375000	-43.184544
3375.000000	-43.069008
3390.625000	-42.803837
3406.250000	-42.379406
3421.875000	-41.782112
3437.500000	-40.998291
3453.125000	-40.010410
3468.750000	-38.810009
3484.375000	-37.420380
3500.000000	-35.980141
3515.625000	-34.817345
3531.250000	-34.367123
3546.875000	-34.841564
3562.500000	-36.012295
3578.125000	-37.436562
3593.750000	-38.789482
3609.375000	-39.943314
3625.000000	-40.876686
3640.625000	-41.601833
3656.250000	-42.136459
3671.875000	-42.491398
3687.500000	-42.679832
3703.125000	-42.709816
3718.750000	-42.578739
3734.375000	-42.282906
3750.000000	-41.812740
3765.625000	-41.159306
3781.250000	-40.301796
3796.875000	-39.207600
3812.500000	-37.855328
3828.125000	-36.250019
3843.750000	-34.517040
3859.375000	-33.060459
3875.000000	-32.505005
3890.625000	-33.143677
3906.250000	-34.609962
3921.875000	-36.287098
3937.500000	-37.803486
3953.125000	-39.060860
3968.750000	-40.065914
3984.375000	-40.841930
4000.000000	-41.409424
4015.625000	-41.796150
4031.250000	-42.015038
4046.875000	-42.070221
4062.500000	-41.965340
4078.125000	-41.701488
4093.750000	-41.274624
4109.375000	-40.670567
4125.000000	-39.871346
4140.625000	-38.860004
4156.250000	-37.611069
4171.875000	-36.122002
4187.500000	-34.489590
4203.125000	-33.040909
4218.750000	-32.339123
4234.375000	-32.753391
4250.000000	-34.072037
4265.625000	-35.733215
4281.250000	-37.322342
4296.875000	-38.684650
4312.500000	-39.806576
4328.125000	-40.711288
4343.750000	-41.420296
4359.375000	-41.951290
4375.000000	-42.319546
4390.625000	-42.535404
4406.250000	-42.602741
4421.875000	-42.520855
4437.500000	-42.284805
4453.125000	-41.885399
4468.750000	-41.308350
4484.375000	-40.528870
4500.000000	-39.517788
4515.625000	-38.253063
4531.250000	-36.747787
4546.875000	-35.166763
4562.500000	-33.975582
4578.125000	-33.784401
4593.750000	-34.775127
4609.375000	-36.493050
