Frequency (Hz)	Level (dB)
15.625000	-75.666588
31.250000	-70.664551
46.875000	-68.353493
62.500000	-66.910164
78.125000	-66.781197
93.750000	-67.050880
109.375000	-66.276596
125.000000	-66.333069
140.625000	-68.098274
156.250000	-68.165062
171.875000	-68.241234
187.500000	-67.909912
203.125000	-67.730721
218.750000	-66.975067
234.375000	-66.090134
250.000000	-65.003883
265.625000	-63.622906
281.250000	-61.636036
296.875000	-58.889050
312.500000	-55.367783
328.125000	-52.609425
343.750000	-52.839355
359.375000	-56.045528
375.000000	-59.310772
390.625000	-61.964508
406.250000	-63.939358
421.875000	-65.172668
437.500000	-65.995766
453.125000	-66.640388
468.750000	-67.009109
484.375000	-67.501831
500.000000	-67.607681
515.625000	-67.431648
531.250000	-67.105919
546.875000	-66.826797
562.500000	-66.399536
578.125000	-65.620110
593.750000	-64.667160
609.375000	-63.179581
625.000000	-61.018566
640.625000	-58.390404
656.250000	-55.744194
671.875000	-54.355820
687.500000	-54.932190
703.125000	-57.008846
718.750000	-59.043655
734.375000	-60.368111
750.000000	-61.977467
765.625000	-63.677673
781.250000	-64.830978
796.875000	-65.601463
812.500000	-66.036980
828.125000	-66.274567
843.750000	-66.182732
859.375000	-65.846344
875.000000	-65.594597
890.625000	-65.017784
906.250000	-64.099693
921.875000	-63.175999
937.500000	-62.175098
953.125000	-61.044827
968.750000	-59.793533
984.375000	-58.080669
1000.000000	-56.358822
1015.625000	-55.060966
1031.250000	-55.475933
1046.875000	-57.501186
1062.500000	-59.507740
1078.125000	-61.143085
1093.750000	-62.407661
1109.375000	-63.179810
1125.000000	-64.169983
1140.625000	-64.729362
1156.250000	-64.611404
1171.875000	-64.372047
1187.500000	-64.404526
1203.125000	-64.316048
1218.750000	-63.875042
1234.375000	-63.409145
1250.000000	-62.838146
1265.625000	-62.364311
1281.250000	-61.851299
1296.875000	-61.357876
1312.500000	-60.685608
1328.125000	-59.953976
1343.750000	-58.617012
1359.375000	-57.346603
1375.000000	-56.409206
1390.625000	-56.820648
1406.250000	-57.934200
1421.875000	-58.743668
1437.500000	-59.231155
1453.125000	-59.759022
1468.750000	-60.170429
1484.375000	-60.336761
1500.000000	-60.349648
1515.625000	-60.102314
1531.250000	-60.155354
1546.875000	-60.486221
1562.500000	-60.469254
1578.125000	-60.226925
1593.750000	-60.296894
1609.375000	-60.129875
1625.000000	-59.498898
1640.625000	-58.478794
1656.250000	-57.346806
1671.875000	-55.629604
1687.500000	-53.723625
1703.125000	-51.176517
1718.750000	-48.333832
1734.375000	-46.141571
1750.000000	-46.296333
1765.625000	-48.393539
1781.250000	-51.031799
1796.875000	-53.146454
1812.500000	-54.711670
1828.125000	-55.634575
1843.750000	-56.551472
1859.375000	-57.297600
1875.000000	-57.657951
1890.625000	-57.454029
1906.250000	-57.367542
1921.875000	-57.331104
1937.500000	-56.624634
1953.125000	-55.961792
1968.750000	-54.878643
1984.375000	-53.712509
2000.000000	-52.094269
2015.625000	-50.264664
2031.250000	-48.358910
2046.875000	-46.424774
2062.500000	-45.809578
2078.125000	-46.798512
2093.750000	-48.551414
2109.375000	-50.367737
2125.000000	-51.701355
2140.625000	-53.080650
2156.250000	-54.131687
2171.875000	-54.923470
2187.500000	-55.519402
2203.125000	-55.765518
2218.750000	-55.953876
