Frequency (Hz)	Level (dB)
15.625000	-79.406021
31.250000	-76.713531
46.875000	-74.383553
62.500000	-72.325531
78.125000	-72.412521
93.750000	-73.557205
109.375000	-72.061356
125.000000	-71.485710
140.625000	-76.783409
156.250000	-78.159096
171.875000	-78.387901
187.500000	-78.611786
203.125000	-78.156815
218.750000	-77.274666
234.375000	-75.664352
250.000000	-75.407150
265.625000	-74.443634
281.250000	-72.283012
296.875000	-69.262177
312.500000	-65.940849
328.125000	-62.808380
343.750000	-62.594810
359.375000	-65.331383
375.000000	-68.588425
390.625000	-71.054680
406.250000	-72.940323
421.875000	-74.447678
437.500000	-75.278008
453.125000	-75.512817
468.750000	-75.945625
484.375000	-76.165802
500.000000	-76.068459
515.625000	-76.030640
531.250000	-75.842247
546.875000	-75.664474
562.500000	-74.750053
578.125000	-73.956207
593.750000	-73.024620
609.375000	-71.751190
625.000000	-69.772995
640.625000	-67.160149
656.250000	-64.308846
671.875000	-61.673264
687.500000	-61.112427
703.125000	-63.139999
718.750000	-65.739311
734.375000	-67.480988
750.000000	-68.399147
765.625000	-69.740784
781.250000	-70.730209
796.875000	-71.778908
812.500000	-72.468193
828.125000	-72.569763
843.750000	-72.542488
859.375000	-72.393921
875.000000	-71.910713
890.625000	-71.533432
906.250000	-70.602089
921.875000	-69.590530
937.500000	-68.161064
953.125000	-66.615547
968.750000	-65.818222
984.375000	-64.711449
1000.000000	-63.366074
1015.625000	-61.874596
1031.250000	-61.282158
1046.875000	-62.119926
1062.500000	-63.821686
1078.125000	-65.691315
1093.750000	-67.005608
1109.375000	-68.144363
1125.000000	-68.890640
1140.625000	-69.417488
1156.250000	-69.738083
1171.875000	-69.807426
1187.500000	-69.699028
1203.125000	-69.699005
1218.750000	-69.507713
1234.375000	-68.974121
1250.000000	-68.258232
1265.625000	-67.797081
1281.250000	-67.306175
1296.875000	-66.927811
1312.500000	-66.220192
1328.125000	-65.288185
1343.750000	-64.226524
1359.375000	-63.003109
1375.000000	-61.370621
1390.625000	-60.280594
1406.250000	-60.459820
1421.875000	-61.329548
1437.500000	-62.317524
1453.125000	-63.056885
1468.750000	-63.657864
1484.375000	-64.319260
1500.000000	-64.641907
1515.625000	-64.836021
1531.250000	-64.734055
1546.875000	-64.440636
1562.500000	-64.345726
1578.125000	-64.444870
1593.750000	-64.200264
1609.375000	-64.222298
1625.000000	-63.439579
1640.625000	-62.866188
1656.250000	-62.112068
1671.875000	-60.952175
1687.500000	-59.320847
1703.125000	-57.271725
1718.750000	-54.672539
1734.375000	-51.615063
1750.000000	-49.933846
1765.625000	-50.276913
1781.250000	-51.944530
1796.875000	-54.132717
1812.500000	-56.280777
1828.125000	-57.845535
1843.750000	-58.784344
1859.375000	-59.699005
1875.000000	-59.997841
1890.625000	-60.130787
1906.250000	-60.323383
1921.875000	-60.311668
1937.500000	-59.976326
1953.125000	-59.613388
1968.750000	-59.123543
1984.375000	-57.933327
2000.000000	-56.587093
2015.625000	-55.150188
2031.250000	-53.043869
2046.875000	-50.746929
2062.500000	-48.998871
2078.125000	-48.295601
2093.750000	-48.980743
2109.375000	-50.580387
2125.000000	-52.324223
2140.625000	-54.016956
2156.250000	-55.302376
2171.875000	-56.377838
2187.500000	-57.074669
2203.125000	-57.527546
2218.750000	-57.749271
2234.375000	-57.910282
2250.000000	-57.818455
2265.625000	-57.619152
2281.250000	-57.564404
2296.875000	-57.321301
2312.500000	-56.724579
2328.125000	-55.726002
2343.750000	-54.795273
2359.375000	-53.824821
2375.000000	-52.888733
2390.625000	-51.979568
2406.250000	-51.179996
2421.875000	-50.883579
2437.500000	-51.410896
2453.125000	-52.577015
2468.750000	-53.665779
2484.375000	-54.708611
2500.000000	-55.619461
2515.625000	-56.444069
2531.250000	-56.785595
2546.875000	-57.710007
