Frequency (Hz)	Level (dB)
15.625000	-77.123062
31.250000	-74.139641
46.875000	-72.468430
62.500000	-70.749306
78.125000	-69.224770
93.750000	-69.414711
109.375000	-67.249329
125.000000	-66.599632
140.625000	-74.252495
156.250000	-77.132332
171.875000	-77.179771
187.500000	-76.589958
203.125000	-75.656624
218.750000	-73.158112
234.375000	-69.303871
250.000000	-67.612976
265.625000	-64.688446
281.250000	-64.391212
296.875000	-67.899841
312.500000	-71.810448
328.125000	-74.209938
343.750000	-75.834244
359.375000	-77.082573
375.000000	-77.935837
390.625000	-78.507439
406.250000	-78.892624
421.875000	-78.773415
437.500000	-78.530617
453.125000	-78.089493
468.750000	-77.602783
484.375000	-76.760902
500.000000	-75.554237
515.625000	-74.296463
531.250000	-71.816437
546.875000	-69.062775
562.500000	-68.101257
578.125000	-69.336937
593.750000	-71.929085
609.375000	-74.241600
625.000000	-75.867134
640.625000	-76.999756
656.250000	-77.410675
671.875000	-77.903702
687.500000	-78.253326
703.125000	-78.281517
718.750000	-78.038147
734.375000	-77.724327
750.000000	-76.781837
765.625000	-75.564720
781.250000	-73.714310
796.875000	-71.816887
812.500000	-70.493904
828.125000	-70.096764
843.750000	-70.458885
859.375000	-70.815437
875.000000	-71.706299
890.625000	-73.264709
906.250000	-74.577950
921.875000	-76.072853
937.500000	-76.943962
953.125000	-77.102928
968.750000	-77.241791
984.375000	-77.276451
1000.000000	-76.757317
1015.625000	-76.550430
1031.250000	-76.105301
1046.875000	-75.283272
1062.500000	-74.343399
1078.125000	-74.027000
1093.750000	-73.357071
1109.375000	-73.054993
1125.000000	-73.057037
1140.625000	-73.196434
1156.250000	-73.174988
1171.875000	-73.271828
1187.500000	-73.457184
1203.125000	-74.133949
1218.750000	-74.586418
1234.375000	-74.715614
1250.000000	-75.003517
1265.625000	-75.066467
1281.250000	-74.940689
1296.875000	-74.861420
1312.500000	-74.824768
1328.125000	-74.507881
1343.750000	-74.027222
1359.375000	-72.965118
1375.000000	-71.486687
1390.625000	-69.797348
1406.250000	-67.571274
1421.875000	-64.626915
1437.500000	-62.355141
1453.125000	-62.296223
1468.750000	-64.273010
1484.375000	-67.155815
1500.000000	-69.236450
1515.625000	-70.455650
1531.250000	-71.015945
1546.875000	-71.514732
1562.500000	-71.870796
1578.125000	-72.055298
1593.750000	-71.811241
1609.375000	-71.036491
1625.000000	-70.113319
1640.625000	-68.819595
1656.250000	-66.946396
1671.875000	-64.753029
1687.500000	-62.187786
1703.125000	-60.730515
1718.750000	-61.063511
1734.375000	-63.115685
1750.000000	-65.296349
1765.625000	-67.295052
1781.250000	-68.393974
1796.875000	-69.241478
1812.500000	-69.735992
1828.125000	-70.354073
1843.750000	-70.670746
1859.375000	-70.290848
1875.000000	-69.739815
1890.625000	-69.474083
1906.250000	-68.707756
1921.875000	-67.597717
1937.500000	-66.111687
1953.125000	-64.623322
1968.750000	-63.858864
1984.375000	-63.432522
2000.000000	-63.706066
2015.625000	-64.688332
2031.250000	-66.142197
2046.875000	-67.118553
2062.500000	-67.901009
2078.125000	-68.739105
2093.750000	-69.336311
2109.375000	-69.903381
2125.000000	-70.110229
2140.625000	-69.789116
2156.250000	-69.776978
2171.875000	-69.661942
2187.500000	-69.267929
2203.125000	-68.859619
2218.750000	-68.427399
2234.375000	-67.549019
2250.000000	-66.877151
2265.625000	-66.337357
2281.250000	-65.824471
