Frequency (Hz)	Level (dB)
15.625000	-76.347893
31.250000	-72.635872
46.875000	-70.450188
62.500000	-69.353340
78.125000	-68.355888
93.750000	-69.034378
109.375000	-67.258865
125.000000	-66.735130
140.625000	-73.776413
156.250000	-76.008865
171.875000	-76.076668
187.500000	-75.925423
203.125000	-75.295052
218.750000	-73.009239
234.375000	-69.491791
250.000000	-67.648407
265.625000	-65.035965
281.250000	-65.140038
296.875000	-68.628563
312.500000	-72.228073
328.125000	-75.011482
343.750000	-76.967262
359.375000	-78.101685
375.000000	-78.927322
390.625000	-79.902458
406.250000	-80.293304
421.875000	-80.455757
437.500000	-80.629501
453.125000	-80.269150
468.750000	-79.366104
484.375000	-78.841621
500.000000	-77.955811
515.625000	-76.740730
531.250000	-74.653015
546.875000	-72.172722
562.500000	-71.150627
578.125000	-72.670380
593.750000	-75.400841
609.375000	-77.783417
625.000000	-79.289215
640.625000	-80.217361
656.250000	-80.940414
671.875000	-81.438980
687.500000	-81.760780
703.125000	-81.665756
718.750000	-81.638397
734.375000	-81.441551
750.000000	-80.764099
765.625000	-79.560509
781.250000	-78.013390
796.875000	-75.933998
812.500000	-74.861023
828.125000	-74.907341
843.750000	-75.001251
859.375000	-75.396576
875.000000	-76.556267
890.625000	-78.141785
906.250000	-79.579681
921.875000	-80.701645
937.500000	-81.696617
953.125000	-82.043861
968.750000	-82.310783
984.375000	-82.218819
1000.000000	-81.882301
1015.625000	-81.731651
1031.250000	-81.419449
1046.875000	-80.919601
1062.500000	-80.312431
1078.125000	-79.851669
1093.750000	-79.384697
1109.375000	-79.205475
1125.000000	-79.248314
1140.625000	-79.022064
1156.250000	-79.122437
1171.875000	-79.355019
1187.500000	-79.749779
1203.125000	-80.076401
1218.750000	-80.659111
1234.375000	-80.962387
1250.000000	-81.220612
1265.625000	-81.283669
1281.250000	-81.425583
1296.875000	-81.413025
1312.500000	-81.121475
1328.125000	-80.920799
1343.750000	-80.552872
1359.375000	-79.785126
1375.000000	-78.679916
1390.625000	-76.831062
1406.250000	-74.519325
1421.875000	-71.701042
1437.500000	-69.502876
1453.125000	-69.796379
1468.750000	-71.785744
1484.375000	-74.294357
1500.000000	-76.421906
1515.625000	-77.833878
1531.250000	-78.465874
1546.875000	-79.029602
1562.500000	-79.616089
1578.125000	-79.636269
1593.750000	-79.540306
1609.375000	-78.808113
1625.000000	-77.521255
1640.625000	-76.283554
1656.250000	-74.696770
1671.875000	-72.824890
1687.500000	-70.482697
1703.125000	-68.881760
1718.750000	-69.468262
1734.375000	-71.257080
1750.000000	-73.593750
1765.625000	-75.302910
1781.250000	-76.712097
1796.875000	-77.667290
1812.500000	-78.423431
1828.125000	-78.488785
1843.750000	-78.509964
1859.375000	-78.706596
1875.000000	-78.317856
1890.625000	-77.643608
1906.250000	-76.794395
1921.875000	-75.583298
1937.500000	-74.576782
1953.125000	-73.493538
1968.750000	-72.312416
1984.375000	-71.797432
2000.000000	-72.419975
2015.625000	-73.654945
2031.250000	-74.700050
2046.875000	-75.905884
2062.500000	-76.865158
2078.125000	-77.754021
2093.750000	-78.343147
2109.375000	-78.766632
2125.000000	-78.878365
2140.625000	-78.700195
2156.250000	-78.621216
2171.875000	-78.623741
2187.500000	-78.318039
2203.125000	-77.803650
2218.750000	-77.127670
2234.375000	-76.735260
2250.000000	-76.229721
2265.625000	-75.437965
2281.250000	-74.980904
2296.875000	-74.630501
2312.500000	-74.794022
2328.125000	-75.557732
2343.750000	-76.662392
2359.375000	-77.279526
2375.000000	-78.154938
2390.625000	-78.713577
2406.250000	-79.089424
2421.875000	-79.625023
2437.500000	-79.695557
2453.125000	-79.692337
2468.750000	-79.506310
2484.375000	-79.301163
2500.000000	-78.928596
2515.625000	-78.515434
