Frequency (Hz)	Level (dB)
15.625000	-67.066681
31.250000	-74.434776
46.875000	-68.663460
62.500000	-62.033569
78.125000	-59.895355
93.750000	-59.219120
109.375000	-58.685207
125.000000	-58.284260
140.625000	-58.237591
156.250000	-57.550026
171.875000	-56.615978
187.500000	-55.365772
203.125000	-53.700413
218.750000	-51.471863
234.375000	-48.413116
250.000000	-44.287544
265.625000	-40.709370
281.250000	-40.544868
296.875000	-43.651783
312.500000	-47.162838
328.125000	-49.640377
343.750000	-51.302517
359.375000	-52.420341
375.000000	-53.131683
390.625000	-53.465435
406.250000	-53.504921
421.875000	-53.287739
437.500000	-52.801865
453.125000	-52.094021
468.750000	-51.199444
484.375000	-50.096863
500.000000	-48.690071
515.625000	-46.818981
531.250000	-44.309792
546.875000	-41.569225
562.500000	-40.205589
578.125000	-41.301373
593.750000	-43.887955
609.375000	-46.251087
625.000000	-47.818554
640.625000	-48.753109
656.250000	-49.386833
671.875000	-49.869537
687.500000	-50.144238
703.125000	-50.116936
718.750000	-49.768364
734.375000	-49.068241
750.000000	-47.968365
765.625000	-46.421638
781.250000	-44.425556
796.875000	-42.290962
812.500000	-40.825592
828.125000	-40.510315
843.750000	-40.818901
859.375000	-41.266735
875.000000	-42.117619
890.625000	-43.454601
906.250000	-44.890507
921.875000	-46.078377
937.500000	-46.898643
953.125000	-47.359734
968.750000	-47.491730
984.375000	-47.325916
1000.000000	-46.906261
1015.625000	-46.306767
1031.250000	-45.615562
1046.875000	-44.881855
1062.500000	-44.078335
1078.125000	-43.212494
1093.750000	-42.489067
1109.375000	-42.143410
1125.000000	-42.132118
1140.625000	-42.176567
1156.250000	-42.127472
1171.875000	-42.146839
1187.500000	-42.455669
1203.125000	-42.991997
1218.750000	-43.407349
1234.375000	-43.548981
1250.000000	-43.615383
1265.625000	-43.687878
1281.250000	-43.666180
1296.875000	-43.512703
1312.500000	-43.273502
1328.125000	-42.922394
1343.750000	-42.347446
1359.375000	-41.444263
1375.000000	-40.133995
1390.625000	-38.322403
1406.250000	-35.902805
1421.875000	-32.971958
1437.500000	-30.571953
1453.125000	-30.255413
1468.750000	-32.094208
1484.375000	-34.582008
1500.000000	-36.592720
1515.625000	-38.003479
1531.250000	-38.930984
1546.875000	-39.471138
1562.500000	-39.685177
1578.125000	-39.600338
1593.750000	-39.226345
1609.375000	-38.556049
1625.000000	-37.561489
1640.625000	-36.201019
1656.250000	-34.415565
1671.875000	-32.190948
1687.500000	-29.816080
1703.125000	-28.262960
1718.750000	-28.494390
1734.375000	-30.256113
1750.000000	-32.397022
1765.625000	-34.187935
1781.250000	-35.518497
1796.875000	-36.450737
1812.500000	-37.053185
1828.125000	-37.372112
1843.750000	-37.436855
1859.375000	-37.264393
1875.000000	-36.856842
1890.625000	-36.212746
1906.250000	-35.324348
1921.875000	-34.186520
1937.500000	-32.836803
1953.125000	-31.416344
1968.750000	-30.233625
1984.375000	-29.706360
2000.000000	-30.050671
2015.625000	-31.061632
2031.250000	-32.314259
2046.875000	-33.498158
2062.500000	-34.487091
2078.125000	-35.253716
2093.750000	-35.806553
2109.375000	-36.161327
2125.000000	-36.335541
2140.625000	-36.344585
2156.250000	-36.199268
2171.875000	-35.910374
2187.500000	-35.488785
2203.125000	-34.955482
2218.750000	-34.340626
2234.375000	-33.686657
2250.000000	-33.038696
2265.625000	-32.427078
2281.250000	-31.892519
2296.875000	-31.572748
2312.500000	-31.659000
2328.125000	-32.185024
2343.750000	-32.976425
2359.375000	-33.819054
2375.000000	-34.580128
2390.625000	-35.204411
2406.250000	-35.675022
2421.875000	-35.989826
2437.500000	-36.150982
2453.125000	-36.158562
2468.750000	-36.013203
2484.375000	-35.711548
2500.000000	-35.248920
2515.625000	-34.622223
2531.250000	-33.836906
2546.875000	-32.919300
2562.500000	-31.944954
2578.125000	-31.073437
2593.750000	-30.539183
2609.375000	-30.541700
2625.000000	-31.093800
2640.625000	-32.006855
2656.250000	-33.034302
2671.875000	-33.998325
2687.500000	-34.808861
2703.125000	-35.430508
2718.750000	-35.854267
2734.375000	-36.074856
2750.000000	-36.088867
2765.625000	-35.891068
2781.250000	-35.472260
2796.875000	-34.815033
2812.500000	-33.894802
2828.125000	-32.695850
2843.750000	-31.247017
2859.375000	-29.709320
2875.000000	-28.503397
2890.625000	-28.175009
2906.250000	-28.908991
2921.875000	-30.325090
2937.500000	-31.875553
2953.125000	-33.241566
2968.750000	-34.326710
2984.375000	-35.128193
3000.000000	-35.664886
3015.625000	-35.953251
3031.250000	-36.000782
3046.875000	-35.806301
3062.500000	-35.359543
3078.125000	-34.637920
3093.750000	-33.606167
3109.375000	-32.216991
3125.000000	-30.438471
3140.625000	-28.393435
3156.250000	-26.667685
3171.875000	-26.190168
3187.500000	-27.263851
3203.125000	-29.188091
3218.750000	-31.100836
3234.375000	-32.658276
3250.000000	-33.837391
3265.625000	-34.680466
3281.250000	-35.230927
3296.875000	-35.515518
3312.500000	-35.548149
3328.125000	-35.331474
3343.750000	-34.856426
3359.375000	-34.098644
3375.000000	-33.016575
3390.625000	-31.549271
3406.250000	-29.633244
3421.875000	-27.347555
3437.500000	-25.467577
3453.125000	-24.974112
3468.750000	-25.995041
3484.375000	-28.109989
3500.000000	-30.144842
3515.625000	-31.608149
3531.250000	-33.008385
3546.875000	-33.863468
3562.500000	-34.428131
3578.125000	-34.717583
3593.750000	-34.753647
3609.375000	-34.542892
3625.000000	-34.077595
3640.625000	-33.337967
3656.250000	-32.286541
3671.875000	-30.868141
3687.500000	-29.022438
3703.125000	-26.841036
3718.750000	-25.118158
3734.375000	-24.631580
3750.000000	-25.348623
3765.625000	-27.075403
3781.250000	-29.141357
3796.875000	-30.854206
3812.500000	-32.149204
3828.125000	-33.091312
3843.750000	-33.735031
3859.375000	-34.114765
3875.000000	-34.253094
3890.625000	-34.157700
3906.250000	-33.823990
3921.875000	-33.237671
3937.500000	-32.370125
3953.125000	-31.178202
3968.750000	-29.616629
3984.375000	-27.703320
4000.000000	-25.860037
4015.625000	-24.957397
4031.250000	-25.351576
4046.875000	-26.900042
4062.500000	-28.970701
4078.125000	-30.832499
4093.750000	-32.317554
4109.375000	-33.460197
4125.000000	-34.307266
4140.625000	-34.894287
4156.250000	-35.242470
4171.875000	-35.361580
4187.500000	-35.249870
4203.125000	-34.895325
4218.750000	-34.272846
4234.375000	-33.342632
4250.000000	-32.048973
4265.625000	-30.346893
4281.250000	-28.352221
4296.875000	-26.710192
4312.500000	-26.452074
4328.125000	-27.867723
4343.750000	-30.132805
4359.375000	-32.320896
4375.000000	-34.111958
4390.625000	-35.505905
4406.250000	-36.559151
4421.875000	-37.319687
4437.500000	-37.815403
4453.125000	-38.063641
4468.750000	-38.067699
4484.375000	-37.817619
4500.000000	-37.292160
4515.625000	-36.454941
4531.250000	-35.252045
4546.875000	-33.628822
4562.500000	-31.623117
4578.125000	-29.712376
4593.750000	-28.972364
4609.375000	-30.038694
4625.000000	-32.287346
4640.625000	-34.631836
4656.250000	-36.581894
4671.875000	-38.104443
4687.500000	-39.258427
4703.125000	-40.099239
4718.750000	-40.663242
4734.375000	-40.970360
4750.000000	-41.027252
4765.625000	-40.825939
4781.250000	-40.346741
4796.875000	-39.552784
4812.500000	-38.381134
4828.125000	-36.740765
4843.750000	-34.578400
4859.375000	-32.255653
4875.000000	-31.023382
4890.625000	-31.900820
4906.250000	-34.332249
4921.875000	-36.925564
4937.500000	-39.037910
4953.125000	-40.653049
4968.750000	-41.861267
4984.375000	-42.734791
5000.000000	-43.321423
5015.625000	-43.645866
5031.250000	-43.716320
5046.875000	-43.530731
5062.500000	-43.070694
5078.125000	-42.298721
5093.750000	-41.158863
5109.375000	-39.558235
5125.000000	-37.403301
5140.625000	-34.910114
5156.250000	-33.266464
5171.875000	-33.770245
5187.500000	-36.132370
5203.125000	-38.856869
5218.750000	-41.090683
5234.375000	-42.785286
