Frequency (Hz)	Level (dB)
15.625000	-70.442848
31.250000	-67.387932
46.875000	-65.668167
62.500000	-64.685936
78.125000	-64.235115
93.750000	-64.340065
109.375000	-63.281235
125.000000	-63.152660
140.625000	-65.646278
156.250000	-65.587730
171.875000	-65.113403
187.500000	-64.283440
203.125000	-63.109085
218.750000	-61.154823
234.375000	-58.319386
250.000000	-54.568932
265.625000	-51.321682
281.250000	-51.327297
296.875000	-54.738148
312.500000	-58.505222
328.125000	-61.079098
343.750000	-63.080292
359.375000	-64.490463
375.000000	-65.233490
390.625000	-65.831352
406.250000	-66.135300
421.875000	-66.044777
437.500000	-65.454399
453.125000	-64.864578
468.750000	-64.140114
484.375000	-63.451805
500.000000	-62.142838
515.625000	-60.386677
531.250000	-57.924892
546.875000	-55.348042
562.500000	-54.144260
578.125000	-55.357170
593.750000	-58.246620
609.375000	-60.662457
625.000000	-62.138298
640.625000	-63.037258
656.250000	-63.978729
671.875000	-64.880356
687.500000	-65.031029
703.125000	-65.109207
718.750000	-64.947289
734.375000	-64.077232
750.000000	-63.115353
765.625000	-61.722168
781.250000	-59.912094
796.875000	-57.889175
812.500000	-56.544853
828.125000	-56.286850
843.750000	-56.548603
859.375000	-56.856133
875.000000	-57.831585
890.625000	-59.506989
906.250000	-61.108398
921.875000	-62.451954
937.500000	-63.284958
953.125000	-63.685394
968.750000	-64.023262
984.375000	-63.852276
1000.000000	-63.679100
1015.625000	-62.941410
1031.250000	-62.401909
1046.875000	-61.670078
1062.500000	-60.871319
1078.125000	-60.026863
1093.750000	-59.172127
1109.375000	-58.800861
1125.000000	-59.191490
1140.625000	-59.361897
1156.250000	-58.961700
1171.875000	-58.958263
1187.500000	-59.513298
1203.125000	-60.275017
1218.750000	-60.594284
1234.375000	-60.881748
1250.000000	-61.060173
1265.625000	-61.088001
1281.250000	-61.037155
1296.875000	-60.831924
1312.500000	-60.573574
1328.125000	-60.559372
1343.750000	-60.010113
1359.375000	-59.036602
1375.000000	-57.736950
1390.625000	-56.048817
1406.250000	-53.659462
1421.875000	-50.741795
1437.500000	-48.491180
1453.125000	-48.452545
1468.750000	-50.347374
1484.375000	-52.839729
1500.000000	-54.786491
1515.625000	-56.319519
1531.250000	-57.391907
1546.875000	-57.997910
1562.500000	-58.053711
1578.125000	-57.946354
1593.750000	-57.662266
1609.375000	-57.111015
1625.000000	-56.117294
1640.625000	-54.764164
1656.250000	-52.868767
1671.875000	-50.550167
1687.500000	-48.187183
1703.125000	-46.714668
1718.750000	-47.195793
1734.375000	-49.112972
1750.000000	-51.141720
1765.625000	-52.986385
1781.250000	-54.450993
1796.875000	-55.458256
1812.500000	-56.105297
1828.125000	-56.253468
1843.750000	-56.371902
1859.375000	-56.454403
1875.000000	-56.151138
1890.625000	-55.294540
1906.250000	-54.447483
1921.875000	-53.467915
1937.500000	-51.996944
1953.125000	-50.493813
1968.750000	-49.475735
1984.375000	-49.133228
2000.000000	-49.508537
2015.625000	-50.436787
2031.250000	-51.925903
2046.875000	-53.055656
2062.500000	-54.147449
2078.125000	-55.059017
2093.750000	-55.612431
2109.375000	-55.986862
2125.000000	-56.074814
2140.625000	-56.163418
2156.250000	-56.019146
2171.875000	-55.863438
2187.500000	-55.309101
2203.125000	-54.891819
2218.750000	-54.355083
2234.375000	-53.412354
2250.000000	-52.733536
2265.625000	-52.179646
2281.250000	-51.714466
2296.875000	-51.497311
2312.500000	-51.672340
2328.125000	-52.431740
2343.750000	-53.370754
2359.375000	-54.214279
2375.000000	-54.792130
2390.625000	-55.363045
2406.250000	-55.839184
2421.875000	-56.286961
2437.500000	-56.415390
2453.125000	-56.460594
2468.750000	-56.233349
2484.375000	-56.139446
2500.000000	-55.621124
2515.625000	-55.140175
2531.250000	-54.361656
2546.875000	-53.492851
2562.500000	-52.242989
2578.125000	-51.143459
2593.750000	-50.909519
2609.375000	-51.281223
2625.000000	-52.039215
2640.625000	-52.824638
2656.250000	-53.959934
2671.875000	-54.625847
2687.500000	-55.581959
2703.125000	-56.352695
2718.750000	-56.821239
2734.375000	-56.971481
2750.000000	-57.039089
2765.625000	-56.820599
2781.250000	-56.227989
2796.875000	-55.775398
2812.500000	-54.807194
2828.125000	-53.695396
2843.750000	-52.119808
2859.375000	-50.407547
2875.000000	-49.313763
2890.625000	-49.129131
2906.250000	-49.981377
2921.875000	-51.405117
2937.500000	-53.045300
2953.125000	-54.545856
2968.750000	-55.584454
2984.375000	-56.367718
3000.000000	-56.537537
3015.625000	-56.979786
3031.250000	-57.250511
3046.875000	-56.918816
3062.500000	-56.611000
3078.125000	-55.890305
3093.750000	-54.811504
3109.375000	-53.234299
3125.000000	-51.329601
3140.625000	-49.716469
3156.250000	-48.094028
3171.875000	-47.726353
3187.500000	-48.797249
3203.125000	-50.675510
3218.750000	-53.002026
3234.375000	-54.616676
3250.000000	-55.578987
3265.625000	-56.319824
3281.250000	-56.792179
3296.875000	-56.953632
3312.500000	-56.926373
3328.125000	-56.907017
3343.750000	-56.534019
3359.375000	-55.638592
3375.000000	-54.497440
3390.625000	-52.852283
3406.250000	-51.023697
3421.875000	-48.759594
3437.500000	-46.873306
3453.125000	-46.608284
3468.750000	-48.024700
3484.375000	-50.234951
3500.000000	-52.230049
3515.625000	-53.730583
3531.250000	-55.133739
3546.875000	-56.121323
3562.500000	-56.521641
3578.125000	-56.594231
3593.750000	-56.528309
3609.375000	-56.273487
3625.000000	-55.852695
3640.625000	-55.107040
3656.250000	-54.150497
3671.875000	-52.885483
3687.500000	-50.913723
3703.125000	-48.525772
3718.750000	-46.589130
3734.375000	-45.945061
