Frequency (Hz)	Level (dB)
15.625000	-73.680908
31.250000	-67.880524
46.875000	-64.355629
62.500000	-62.467297
78.125000	-61.401962
93.750000	-60.725723
109.375000	-59.949055
125.000000	-59.281960
140.625000	-59.888832
156.250000	-59.217503
171.875000	-58.303940
187.500000	-57.035988
203.125000	-55.172871
218.750000	-53.213364
234.375000	-50.356312
250.000000	-46.171680
265.625000	-42.728218
281.250000	-42.489712
296.875000	-45.306465
312.500000	-49.131538
328.125000	-51.574696
343.750000	-53.140278
359.375000	-54.161911
375.000000	-55.082397
390.625000	-55.427242
406.250000	-55.409561
421.875000	-55.034813
437.500000	-54.548229
453.125000	-53.835579
468.750000	-52.916931
484.375000	-51.724998
500.000000	-50.345070
515.625000	-48.436775
531.250000	-46.232700
546.875000	-43.211071
562.500000	-41.872143
578.125000	-43.055336
593.750000	-45.721519
609.375000	-48.210938
625.000000	-49.596954
640.625000	-50.672882
656.250000	-51.283001
671.875000	-51.756287
687.500000	-52.315865
703.125000	-52.092739
718.750000	-51.619446
734.375000	-50.689247
750.000000	-49.478775
765.625000	-48.113796
781.250000	-46.254242
796.875000	-43.970154
812.500000	-42.575249
828.125000	-42.273972
843.750000	-42.465664
859.375000	-42.906334
875.000000	-44.021416
890.625000	-45.241615
906.250000	-46.738022
921.875000	-47.822025
937.500000	-48.722641
953.125000	-49.090183
968.750000	-49.253025
984.375000	-48.999264
1000.000000	-48.511818
1015.625000	-47.858749
1031.250000	-47.173958
1046.875000	-46.537025
1062.500000	-45.776604
1078.125000	-45.038876
1093.750000	-44.171448
1109.375000	-43.935135
1125.000000	-44.078922
1140.625000	-44.109680
1156.250000	-44.009876
1171.875000	-44.007812
1187.500000	-44.268147
1203.125000	-44.768105
1218.750000	-45.190720
1234.375000	-45.412930
1250.000000	-45.560104
1265.625000	-45.410786
1281.250000	-45.295303
1296.875000	-45.225540
1312.500000	-44.899624
1328.125000	-44.872570
1343.750000	-44.152103
1359.375000	-43.201710
1375.000000	-41.835617
1390.625000	-39.989441
1406.250000	-37.525772
1421.875000	-34.774132
1437.500000	-32.413910
1453.125000	-31.956179
1468.750000	-33.886612
1484.375000	-36.380077
1500.000000	-38.537239
1515.625000	-39.758911
1531.250000	-40.508057
1546.875000	-41.280743
1562.500000	-41.455254
1578.125000	-41.072395
1593.750000	-40.833237
1609.375000	-40.136829
1625.000000	-39.220451
1640.625000	-37.835083
1656.250000	-36.161285
1671.875000	-33.882095
1687.500000	-31.249025
1703.125000	-29.843609
1718.750000	-30.339207
1734.375000	-32.164761
1750.000000	-34.428909
1765.625000	-36.375225
1781.250000	-37.528908
1796.875000	-38.085712
1812.500000	-38.988815
1828.125000	-39.279259
1843.750000	-39.224663
1859.375000	-39.070038
