Frequency (Hz)	Level (dB)
15.625000	-64.490143
31.250000	-58.220573
46.875000	-55.156109
62.500000	-53.331646
78.125000	-50.633171
93.750000	-48.582420
109.375000	-42.307697
125.000000	-38.085033
140.625000	-39.957664
156.250000	-46.635830
171.875000	-50.971626
187.500000	-52.939899
203.125000	-53.759937
218.750000	-52.740868
234.375000	-50.206337
250.000000	-46.577869
265.625000	-45.462917
281.250000	-48.150566
296.875000	-52.024632
312.500000	-54.850262
328.125000	-55.979538
343.750000	-55.826675
359.375000	-54.103512
375.000000	-49.803276
390.625000	-45.826504
406.250000	-46.971687
421.875000	-52.065559
437.500000	-55.038815
453.125000	-56.118847
468.750000	-56.588116
484.375000	-55.904285
500.000000	-53.122162
515.625000	-50.943100
531.250000	-51.489929
546.875000	-53.014111
562.500000	-55.216713
578.125000	-57.422398
593.750000	-58.263405
609.375000	-58.357182
625.000000	-57.500736
640.625000	-56.764584
656.250000	-55.519901
671.875000	-52.299515
687.500000	-47.466671
703.125000	-47.340714
718.750000	-51.505161
734.375000	-54.693325
750.000000	-55.760822
765.625000	-54.862713
781.250000	-51.531788
796.875000	-45.499680
812.500000	-42.885822
828.125000	-46.376091
843.750000	-51.823296
859.375000	-54.360180
875.000000	-55.200172
890.625000	-54.532845
906.250000	-51.989567
921.875000	-47.553661
937.500000	-44.710693
953.125000	-46.280487
968.750000	-50.577553
984.375000	-53.220970
1000.000000	-54.171482
1015.625000	-54.010796
1031.250000	-52.217033
1046.875000	-49.640022
1062.500000	-48.052383
1078.125000	-48.786232
1093.750000	-51.127262
1109.375000	-52.977612
1125.000000	-53.887375
1140.625000	-54.177769
1156.250000	-53.684692
1171.875000	-52.607674
1187.500000	-51.715275
1203.125000	-51.261536
1218.750000	-51.046471
1234.375000	-51.368580
1250.000000	-51.828487
1265.625000	-52.338428
1281.250000	-52.758873
1296.875000	-52.910255
1312.500000	-52.753941
1328.125000	-51.958271
1343.750000	-50.906418
1359.375000	-49.282887
1375.000000	-48.110989
1390.625000	-48.231544
1406.250000	-49.682747
1421.875000	-51.445198
1437.500000	-52.339821
1453.125000	-52.293056
1468.750000	-51.375706
1484.375000	-49.045074
1500.000000	-46.123253
1515.625000	-45.351784
1531.250000	-47.729427
1546.875000	-50.928864
1562.500000	-52.863911
1578.125000	-53.847263
1593.750000	-53.210461
1609.375000	-51.073151
1625.000000	-47.253590
1640.625000	-44.330097
1656.250000	-45.804237
1671.875000	-50.252850
1687.500000	-53.684464
1703.125000	-54.938328
1718.750000	-54.869728
1734.375000	-53.531986
1750.000000	-49.916470
1765.625000	-45.183735
1781.250000	-44.427021
1796.875000	-48.569679
1812.500000	-53.132019
1828.125000	-55.446697
1843.750000	-56.032379
1859.375000	-55.554317
1875.000000	-52.987785
1890.625000	-48.093498
1906.250000	-44.564686
1921.875000	-46.484730
1937.500000	-52.024029
1953.125000	-55.469990
1968.750000	-56.847183
1984.375000	-57.018871
2000.000000	-55.403240
2015.625000	-51.797398
2031.250000	-46.242725
2046.875000	-44.819271
2062.500000	-49.313396
2078.125000	-54.746693
2093.750000	-57.073944
2109.375000	-58.039352
2125.000000	-57.485512
2140.625000	-55.061203
2156.250000	-49.567116
2171.875000	-45.257668
2187.500000	-46.885410
2203.125000	-52.688408
2218.750000	-56.232891
2234.375000	-57.846500
2250.000000	-58.179993
2265.625000	-57.109936
2281.250000	-53.578651
2296.875000	-47.407719
2312.500000	-44.800159
2328.125000	-48.503742
2343.750000	-54.486599
2359.375000	-57.510963
2375.000000	-58.373444
2390.625000	-57.890812
2406.250000	-55.921799
2421.875000	-51.293568
2437.500000	-45.958130
2453.125000	-45.975986
2468.750000	-51.296234
2484.375000	-55.925289
2500.000000	-57.609356
2515.625000	-57.807888
2531.250000	-56.724499
2546.875000	-53.845882
2562.500000	-48.051712
2578.125000	-44.418694
2593.750000	-46.987373
2609.375000	-53.076576
2625.000000	-56.158939
2640.625000	-57.570206
2656.250000	-57.234467
2671.875000	-55.854805
2687.500000	-51.490696
2703.125000	-45.503643
2718.750000	-44.065697
2734.375000	-48.689812
2750.000000	-53.927654
2765.625000	-56.065434
2781.250000	-56.869659
2796.875000	-55.743740
2812.500000	-53.027321
2828.125000	-47.982918
2843.750000	-44.193367
2859.375000	-46.020790
2875.000000	-51.133335
2890.625000	-54.351776
2906.250000	-55.674847
2921.875000	-55.419693
2937.500000	-54.070000
2953.125000	-50.693409
2968.750000	-45.953518
2984.375000	-44.502388
3000.000000	-47.821735
3015.625000	-51.880024
3031.250000	-54.000546
3046.875000	-54.624771
3062.500000	-54.003105
3078.125000	-51.795559
3093.750000	-48.522026
3109.375000	-45.805687
3125.000000	-46.275238
3140.625000	-49.477493
3156.250000	-52.130836
3171.875000	-53.528854
3187.500000	-53.868382
3203.125000	-53.124168
3218.750000	-51.594612
3234.375000	-49.376328
3250.000000	-47.576630
3265.625000	-47.813557
3281.250000	-49.606869
3296.875000	-51.656021
3312.500000	-53.314697
3328.125000	-53.837708
3343.750000	-53.365902
3359.375000	-52.185989
3375.000000	-49.706146
3390.625000	-47.496956
3406.250000	-47.668457
3421.875000	-50.168514
3437.500000	-52.756119
3453.125000	-54.586826
3468.750000	-55.276989
3484.375000	-54.994324
3500.000000	-53.262741
3515.625000	-49.916607
3531.250000	-47.309715
3546.875000	-48.049072
3562.500000	-51.946693
3578.125000	-55.286312
3593.750000	-56.987335
3609.375000	-57.395576
3625.000000	-56.516605
3640.625000	-54.021557
3656.250000	-50.331665
3671.875000	-48.639614
3687.500000	-51.224575
3703.125000	-55.556458
3718.750000	-58.385628
3734.375000	-59.333035
3750.000000	-59.049076
3765.625000	-57.536980
3781.250000	-54.126728
3796.875000	-50.440220
3812.500000	-50.570602
3828.125000	-54.451450
3843.750000	-58.315418
3859.375000	-60.272980
3875.000000	-60.978889
3890.625000	-60.451473
3906.250000	-58.228352
3921.875000	-53.305737
3937.500000	-50.104984
3953.125000	-52.134899
3968.750000	-57.318024
3984.375000	-60.707619
4000.000000	-62.225983
4015.625000	-62.321934
4031.250000	-61.031986
4046.875000	-57.926384
4062.500000	-52.709270
4078.125000	-51.188610
4093.750000	-54.869453
4109.375000	-60.122948
4125.000000	-62.763294
4140.625000	-63.543659
4156.250000	-63.337032
4171.875000	-61.187466
4187.500000	-57.057549
4203.125000	-52.605919
4218.750000	-52.840752
4234.375000	-57.607559
4250.000000	-61.801144
4265.625000	-63.749901
4281.250000	-64.160995
4296.875000	-63.363071
4312.500000	-61.137226
4328.125000	-55.651474
4343.750000	-52.057796
4359.375000	-54.391048
4375.000000	-60.041008
4390.625000	-63.367329
4406.250000	-64.792549
4421.875000	-64.713341
4437.500000	-63.220768
4453.125000	-59.359459
4468.750000	-53.848763
4484.375000	-52.698986
4500.000000	-57.038311
4515.625000	-62.375751
4531.250000	-64.591797
4546.875000	-65.143425
4562.500000	-64.589676
4578.125000	-62.953072
4593.750000	-57.950729
4609.375000	-53.227406
4625.000000	-54.273151
4640.625000	-59.685383
4656.250000	-63.642681
4671.875000	-65.101624
4687.500000	-65.538605
4703.125000	-64.404533
4718.750000	-61.808796
4734.375000	-56.115093
4750.000000	-53.262302
4765.625000	-55.976143
4781.250000	-61.276974
4796.875000	-64.359306
4812.500000	-65.619858
4828.125000	-65.422646
4843.750000	-63.863716
4859.375000	-59.847721
4875.000000	-54.267532
4890.625000	-53.081566
4906.250000	-57.694916
4921.875000	-62.608044
4937.500000	-64.716248
4953.125000	-65.083626
4968.750000	-64.868423
4984.375000	-62.416363
5000.000000	-56.944828
5015.625000	-52.625027
5031.250000	-54.063210
5046.875000	-59.458702
5062.500000	-63.079521
5078.125000	-64.985558
5093.750000	-64.781845
5109.375000	-63.573582
5125.000000	-60.169815
5140.625000	-54.733707
5156.250000	-52.162796
5171.875000	-55.359764
5187.500000	-60.724140
5203.125000	-63.531288
5218.750000	-63.962532
5234.375000	-63.359135
5250.000000	-61.840527
5265.625000	-57.635799
5281.250000	-52.496670
5296.875000	-51.949921
5312.500000	-56.261105
5328.125000	-60.593044
5343.750000	-62.302086
5359.375000	-62.802589
5375.000000	-61.928478
5390.625000	-59.461945
5406.250000	-54.450359
5421.875000	-50.254246
5437.500000	-51.831326
5453.125000	-56.942535
5468.750000	-60.207760
5484.375000	-61.686653
5500.000000	-61.380791
5515.625000	-59.732067
5531.250000	-56.214542
5546.875000	-50.902061
5562.500000	-48.852367
5578.125000	-52.111282
5593.750000	-56.833115
5609.375000	-58.921413
5625.000000	-59.785561
5640.625000	-58.980396
5656.250000	-56.742477
5671.875000	-52.011189
5687.500000	-47.708679
5703.125000	-47.952877
5718.750000	-52.240036
5734.375000	-56.286415
5750.000000	-57.737862
5765.625000	-57.164364
5781.250000	-55.848347
5796.875000	-52.755348
5812.500000	-47.522614
5828.125000	-44.885517
5843.750000	-47.331722
5859.375000	-51.692223
5875.000000	-53.708710
5890.625000	-54.243847
5906.250000	-53.576370
5921.875000	-51.046642
5937.500000	-46.923664
5953.125000	-43.474453
5968.750000	-43.516491
5984.375000	-46.571678
