Frequency (Hz)	Level (dB)
15.625000	-56.906528
31.250000	-71.426743
46.875000	-68.839195
62.500000	-62.914753
78.125000	-56.156048
93.750000	-53.725735
109.375000	-45.833260
125.000000	-43.060417
140.625000	-47.146862
156.250000	-53.164707
171.875000	-56.434223
187.500000	-57.292004
203.125000	-56.749126
218.750000	-54.767677
234.375000	-51.109917
250.000000	-47.022182
265.625000	-46.337528
281.250000	-49.683456
296.875000	-53.298042
312.500000	-54.569550
328.125000	-54.817482
343.750000	-53.748966
359.375000	-50.359417
375.000000	-45.831074
390.625000	-44.904030
406.250000	-47.659328
421.875000	-50.204800
437.500000	-52.032169
453.125000	-52.906239
468.750000	-52.304764
484.375000	-50.498409
500.000000	-48.264633
515.625000	-45.748653
531.250000	-45.880238
546.875000	-49.379311
562.500000	-52.225117
578.125000	-52.919548
593.750000	-52.633766
609.375000	-52.221325
625.000000	-51.435589
640.625000	-49.415703
656.250000	-44.559879
671.875000	-39.081547
687.500000	-38.820431
703.125000	-43.356403
718.750000	-46.898331
734.375000	-47.799259
750.000000	-46.900303
765.625000	-43.832607
781.250000	-37.808472
796.875000	-34.452229
812.500000	-37.222229
828.125000	-42.711517
843.750000	-45.375237
859.375000	-45.974388
875.000000	-45.025558
890.625000	-42.215981
906.250000	-37.440495
921.875000	-34.774712
937.500000	-36.920757
953.125000	-41.230274
968.750000	-43.611393
984.375000	-44.192497
1000.000000	-43.411755
1015.625000	-41.452957
1031.250000	-39.160229
1046.875000	-38.466927
1062.500000	-39.769688
1078.125000	-40.764935
1093.750000	-41.497761
1109.375000	-42.346821
1125.000000	-42.425930
1140.625000	-41.874157
1156.250000	-41.077751
1171.875000	-40.422745
1187.500000	-40.142246
1203.125000	-40.107174
1218.750000	-40.112270
1234.375000	-40.109047
1250.000000	-40.180019
1265.625000	-40.281017
1281.250000	-40.244244
1296.875000	-39.821976
1312.500000	-38.781315
1328.125000	-37.038864
1343.750000	-35.136219
1359.375000	-34.435726
1375.000000	-35.492619
1390.625000	-37.314507
1406.250000	-38.645016
1421.875000	-38.981575
1437.500000	-38.201202
1453.125000	-36.129650
1468.750000	-33.038723
1484.375000	-31.318264
1500.000000	-32.821003
1515.625000	-36.066147
1531.250000	-38.415257
1546.875000	-39.330914
1562.500000	-38.948944
1578.125000	-37.060177
1593.750000	-33.211674
1609.375000	-29.856960
1625.000000	-30.717678
1640.625000	-34.953144
1656.250000	-38.336140
1671.875000	-39.826763
