Frequency (Hz)	Level (dB)
15.625000	-79.426743
31.250000	-76.730400
46.875000	-73.553200
62.500000	-65.235916
78.125000	-57.067558
93.750000	-55.431610
109.375000	-46.831791
125.000000	-45.358368
140.625000	-54.641537
156.250000	-66.174980
171.875000	-71.260345
187.500000	-72.958702
203.125000	-72.919060
218.750000	-71.035599
234.375000	-67.221649
250.000000	-65.429367
265.625000	-65.093826
281.250000	-67.250511
296.875000	-71.115494
312.500000	-73.410133
328.125000	-73.765671
343.750000	-73.362892
359.375000	-71.046722
375.000000	-66.387428
390.625000	-63.731499
406.250000	-66.371063
421.875000	-70.318161
437.500000	-72.072433
453.125000	-73.317261
468.750000	-73.565109
484.375000	-71.975883
500.000000	-69.282639
515.625000	-68.127556
531.250000	-67.895813
546.875000	-69.404373
562.500000	-72.727730
578.125000	-74.272743
593.750000	-74.405212
609.375000	-74.100563
625.000000	-73.552147
640.625000	-72.591766
656.250000	-70.086868
671.875000	-64.431664
687.500000	-61.446777
703.125000	-64.044487
718.750000	-68.532753
734.375000	-70.356041
750.000000	-70.487488
765.625000	-68.808258
781.250000	-63.816242
796.875000	-58.777126
812.500000	-59.305981
828.125000	-64.569824
843.750000	-68.364464
859.375000	-69.603699
875.000000	-69.364937
890.625000	-67.680664
906.250000	-63.790184
921.875000	-59.685787
937.500000	-59.328003
953.125000	-63.014477
968.750000	-66.425957
984.375000	-67.985847
1000.000000	-67.942368
1015.625000	-66.781456
1031.250000	-64.767975
1046.875000	-62.656082
1062.500000	-62.325111
1078.125000	-64.512642
1093.750000	-66.837379
1109.375000	-67.471336
1125.000000	-67.202148
1140.625000	-66.922394
1156.250000	-66.280533
1171.875000	-65.575394
1187.500000	-64.991997
1203.125000	-64.864494
1218.750000	-65.005310
1234.375000	-65.371742
1250.000000	-65.577812
1265.625000	-65.919525
1281.250000	-65.844109
1296.875000	-65.783775
1312.500000	-65.257080
1328.125000	-64.113884
1343.750000	-62.489334
1359.375000	-60.884243
1375.000000	-60.502190
1390.625000	-61.951744
1406.250000	-63.623055
1421.875000	-64.718666
1437.500000	-64.859825
1453.125000	-63.829399
1468.750000	-61.740585
1484.375000	-58.918777
1500.000000	-58.006748
1515.625000	-60.070381
1531.250000	-62.811386
1546.875000	-64.797287
1562.500000	-65.611137
1578.125000	-65.232666
1593.750000	-63.254189
1609.375000	-59.025192
1625.000000	-56.276691
1640.625000	-57.970474
1656.250000	-62.349407
1671.875000	-65.358940
1687.500000	-66.528114
1703.125000	-66.326210
1718.750000	-64.628471
1734.375000	-60.996517
1750.000000	-56.374870
1765.625000	-56.251511
1781.250000	-60.910927
1796.875000	-65.046944
1812.500000	-66.928284
1828.125000	-67.642410
1843.750000	-66.887772
1859.375000	-63.675667
1875.000000	-58.411991
1890.625000	-55.906006
1906.250000	-58.867706
1921.875000	-64.377144
1937.500000	-67.362007
1953.125000	-68.275436
1968.750000	-68.129990
1984.375000	-66.306595
2000.000000	-61.381889
2015.625000	-56.447189
2031.250000	-57.011353
2046.875000	-62.189388
2062.500000	-66.482018
2078.125000	-68.399994
2093.750000	-68.684792
2109.375000	-67.655380
2125.000000	-64.395432
2140.625000	-58.503658
2156.250000	-55.752750
2171.875000	-59.227222
2187.500000	-65.069321
2203.125000	-68.068314
2218.750000	-69.075523
2234.375000	-68.470337
2250.000000	-66.501556
2265.625000	-61.941582
2281.250000	-56.724056
2296.875000	-56.835236
2312.500000	-62.106178
2328.125000	-66.907860
2343.750000	-68.609192
2359.375000	-68.889351
2375.000000	-67.496559
2390.625000	-64.519333
2406.250000	-58.600220
2421.875000	-55.431736
2437.500000	-58.809856
2453.125000	-64.816200
2468.750000	-67.578545
2484.375000	-68.475914
2500.000000	-68.102890
2515.625000	-65.837280
2531.250000	-61.159630
2546.875000	-55.589912
2562.500000	-55.569038
2578.125000	-61.093819
2593.750000	-65.922325
2609.375000	-67.608009
2625.000000	-67.907341
2640.625000	-66.857689
2656.250000	-63.490181
2671.875000	-57.230999
2687.500000	-54.253368
2703.125000	-57.426239
2718.750000	-63.019817
2734.375000	-65.911713
2750.000000	-67.009163
2765.625000	-66.411926
2781.250000	-64.369995
2796.875000	-59.306774
2812.500000	-54.357574
2828.125000	-54.772709
2843.750000	-60.089859
2859.375000	-64.120285
2875.000000	-65.414391
2890.625000	-65.691246
2906.250000	-64.375160
2921.875000	-61.052589
2937.500000	-56.477650
2953.125000	-54.412556
2968.750000	-57.097916
2984.375000	-61.586658
3000.000000	-63.938068
3015.625000	-64.890320
3031.250000	-64.018387
3046.875000	-62.330681
3062.500000	-58.629959
3078.125000	-55.600750
3093.750000	-55.895153
3109.375000	-58.990288
3125.000000	-62.009666
3140.625000	-63.091625
3156.250000	-63.238407
3171.875000	-62.406174
3187.500000	-60.711395
3203.125000	-58.148338
3218.750000	-56.443317
3234.375000	-56.965336
3250.000000	-59.289238
3265.625000	-61.454876
3281.250000	-62.509258
3296.875000	-62.851917
3312.500000	-62.473751
3328.125000	-61.019306
3343.750000	-58.674999
3359.375000	-56.424095
3375.000000	-56.936016
3390.625000	-59.554020
3406.250000	-61.974125
3421.875000	-63.562111
3437.500000	-63.912876
3453.125000	-63.350517
3468.750000	-61.394112
3484.375000	-57.946774
3500.000000	-55.924393
3515.625000	-57.895279
3531.250000	-61.840084
