Frequency (Hz)	Level (dB)
15.625000	-52.401386
31.250000	-53.828209
46.875000	-51.953529
62.500000	-50.584309
78.125000	-49.016010
93.750000	-47.726517
109.375000	-43.235012
125.000000	-40.209503
140.625000	-42.257271
156.250000	-45.649113
171.875000	-46.996063
187.500000	-47.323261
203.125000	-47.331936
218.750000	-46.965893
234.375000	-45.269417
250.000000	-42.625286
265.625000	-41.924538
281.250000	-43.575924
296.875000	-45.429207
312.500000	-46.543007
328.125000	-46.947178
343.750000	-46.779957
359.375000	-45.275112
375.000000	-41.976818
390.625000	-40.007343
406.250000	-41.840855
421.875000	-43.800709
437.500000	-44.884872
453.125000	-45.817848
468.750000	-46.015732
484.375000	-44.839275
500.000000	-43.123550
515.625000	-41.965160
531.250000	-41.718987
546.875000	-42.976318
562.500000	-44.834789
578.125000	-45.849579
593.750000	-46.291885
609.375000	-45.760803
625.000000	-45.248264
640.625000	-44.546661
656.250000	-42.431126
671.875000	-37.789326
687.500000	-35.528263
703.125000	-38.346371
718.750000	-41.774143
734.375000	-42.884167
750.000000	-42.548565
765.625000	-40.871403
781.250000	-36.291710
796.875000	-31.402393
812.500000	-32.245720
828.125000	-37.282936
843.750000	-40.346294
859.375000	-41.491631
875.000000	-41.405067
890.625000	-39.641796
906.250000	-35.899128
921.875000	-31.830091
937.500000	-31.942554
953.125000	-35.630299
968.750000	-38.836372
984.375000	-40.000114
1000.000000	-39.778290
1015.625000	-38.368378
1031.250000	-36.013107
1046.875000	-34.199417
1062.500000	-34.566753
1078.125000	-36.580002
1093.750000	-38.089756
1109.375000	-38.613457
1125.000000	-38.594318
1140.625000	-38.340866
1156.250000	-37.628639
1171.875000	-36.899799
1187.500000	-36.206600
1203.125000	-36.022434
1218.750000	-36.252998
1234.375000	-36.493118
1250.000000	-36.630051
1265.625000	-36.621361
1281.250000	-36.656403
1296.875000	-36.416847
1312.500000	-35.786991
1328.125000	-34.950302
1343.750000	-33.038174
1359.375000	-31.632105
1375.000000	-31.705429
1390.625000	-33.004959
1406.250000	-34.543091
1421.875000	-35.625362
1437.500000	-35.565784
1453.125000	-34.075459
1468.750000	-31.556749
1484.375000	-28.792263
1500.000000	-28.483704
1515.625000	-30.731504
1531.250000	-33.514679
1546.875000	-35.434998
1562.500000	-35.821705
1578.125000	-34.795784
1593.750000	-32.441780
1609.375000	-28.425385
1625.000000	-26.394175
1640.625000	-28.648119
1656.250000	-32.825958
1671.875000	-35.484619
1687.500000	-36.145157
1703.125000	-35.899342
1718.750000	-34.252876
1734.375000	-30.101757
1750.000000	-26.165691
1765.625000	-26.958431
1781.250000	-31.799431
1796.875000	-35.057629
1812.500000	-36.745079
1828.125000	-36.863060
1843.750000	-35.699787
1859.375000	-32.583073
1875.000000	-27.510157
1890.625000	-25.784754
1906.250000	-29.250380
1921.875000	-34.057617
1937.500000	-36.596794
1953.125000	-37.249111
1968.750000	-36.545925
1984.375000	-34.179825
2000.000000	-29.315247
2015.625000	-25.154478
2031.250000	-26.746899
2046.875000	-32.479416
2062.500000	-35.737019
2078.125000	-37.141201
2093.750000	-37.148243
2109.375000	-35.653545
2125.000000	-32.164673
2140.625000	-26.580679
2156.250000	-25.194105
2171.875000	-29.534342
2187.500000	-34.631382
2203.125000	-36.818390
2218.750000	-37.313030
2234.375000	-36.531139
2250.000000	-34.265217
2265.625000	-29.281559
2281.250000	-24.925039
2296.875000	-26.409260
2312.500000	-32.220406
2328.125000	-35.669933
2343.750000	-36.988125
2359.375000	-36.654789
2375.000000	-35.246868
2390.625000	-31.868557
2406.250000	-25.952894
2421.875000	-24.536673
2437.500000	-28.987036
2453.125000	-33.586548
2468.750000	-35.802570
2484.375000	-36.635834
2500.000000	-35.851357
2515.625000	-33.103611
2531.250000	-27.542864
2546.875000	-23.197145
2562.500000	-24.895042
2578.125000	-30.966106
2593.750000	-34.124405
2609.375000	-35.415745
2625.000000	-35.053036
2640.625000	-33.527584
2656.250000	-29.961441
2671.875000	-24.083126
2687.500000	-22.485413
2703.125000	-26.932463
2718.750000	-31.993801
2734.375000	-33.861973
2750.000000	-34.396034
2765.625000	-33.711815
2781.250000	-31.168337
2796.875000	-25.857065
2812.500000	-22.296478
2828.125000	-24.116512
2843.750000	-29.216202
2859.375000	-32.101433
2875.000000	-33.086567
2890.625000	-32.731388
2906.250000	-31.120888
2921.875000	-27.392282
2937.500000	-22.554253
2953.125000	-22.043087
2968.750000	-26.149351
2984.375000	-29.939785
3000.000000	-31.583057
3015.625000	-32.020554
3031.250000	-31.038509
3046.875000	-28.621536
3062.500000	-25.211679
3078.125000	-22.979309
3093.750000	-24.137884
3109.375000	-27.156157
3125.000000	-29.389179
3140.625000	-30.134197
3156.250000	-30.255045
